"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Lincoln","2020-03-21","initial","23","1","22","2 200.00%","7"
"Lyon","2020-03-21","initial","793","38","755","1 986.84%","232"
"Mineral","2020-03-21","initial","46","3","43","1 433.33%","13"
"Nye","2020-03-21","initial","539","31","508","1 638.71%","152"
"Pershing","2020-03-21","initial","31","3","28","933.33%","8"
"Storey","2020-03-21","initial","25","0","25","Inf","7"
"Washoe","2020-03-21","initial","8,916","318","8,598","2 703.77%","2,460"
"White Pine","2020-03-21","initial","64","4","60","1 500.00%","18"
"Unknown","2020-03-21","initial","1,204","109","1,095","1 004.59%","373"
"Carson City","2020-03-21","continued","381","362","19","5.25%","378"
"Churchill","2020-03-21","continued","101","110","-9","-8.18%","109"
"Clark","2020-03-21","continued","17,809","14,687","3,122","21.26%","15,484"
"Douglas","2020-03-21","continued","212","221","-9","-4.07%","218"
"Elko","2020-03-21","continued","205","217","-12","-5.53%","235"
"Esmeralda","2020-03-21","continued","4","4","0","0.00%","4"
"Eureka","2020-03-21","continued","6","7","-1","-14.29%","6"
"Humboldt","2020-03-21","continued","67","69","-2","-2.90%","72"
"Lander","2020-03-21","continued","39","39","0","0.00%","43"
"Lincoln","2020-03-21","continued","14","14","0","0.00%","15"
"Lyon","2020-03-21","continued","377","356","21","5.90%","372"
"Mineral","2020-03-21","continued","26","19","7","36.84%","24"
"Nye","2020-03-21","continued","234","208","26","12.50%","222"
"Pershing","2020-03-21","continued","21","20","1","5.00%","24"
"Storey","2020-03-21","continued","5","10","-5","-50.00%","8"
"Washoe","2020-03-21","continued","2,470","2,325","145","6.24%","2,415"
"White Pine","2020-03-21","continued","42","38","4","10.53%","44"
"Unknown","2020-03-21","continued","417","391","26","6.65%","415"
"Carson City","2020-03-14","initial","43","37","6","16.22%","41"
"Churchill","2020-03-14","initial","9","16","-7","-43.75%","12"
"Clark","2020-03-14","initial","6,070","2,106","3,964","188.22%","3,031"
"Douglas","2020-03-14","initial","20","21","-1","-4.76%","22"
"Elko","2020-03-14","initial","24","17","7","41.18%","20"
"Esmeralda","2020-03-14","initial","1","0","1","Inf","0"
"Eureka","2020-03-14","initial","0","2","-2","-100.00%","1"
"Humboldt","2020-03-14","initial","5","6","-1","-16.67%","5"
"Lander","2020-03-14","initial","2","5","-3","-60.00%","3"
"Lincoln","2020-03-14","initial","1","2","-1","-50.00%","2"
"Lyon","2020-03-14","initial","38","45","-7","-15.56%","42"
"Mineral","2020-03-14","initial","3","1","2","200.00%","2"
"Nye","2020-03-14","initial","31","16","15","93.75%","22"
"Pershing","2020-03-14","initial","3","0","3","Inf","2"
"Storey","2020-03-14","initial","0","0","0","","2"
"Washoe","2020-03-14","initial","318","306","12","3.92%","304"
"White Pine","2020-03-14","initial","4","0","4","Inf","2"
"Unknown","2020-03-14","initial","109","95","14","14.74%","94"
"Carson City","2020-03-14","continued","362","378","-16","-4.23%","381"
"Churchill","2020-03-14","continued","110","111","-1","-0.90%","111"
"Clark","2020-03-14","continued","14,687","14,726","-39","-0.26%","14,614"
"Douglas","2020-03-14","continued","221","219","2","0.91%","220"
"Elko","2020-03-14","continued","217","245","-28","-11.43%","252"
"Esmeralda","2020-03-14","continued","4","4","0","0.00%","4"
"Eureka","2020-03-14","continued","7","6","1","16.67%","5"
"Humboldt","2020-03-14","continued","69","71","-2","-2.82%","74"
"Lander","2020-03-14","continued","39","45","-6","-13.33%","46"
"Lincoln","2020-03-14","continued","14","16","-2","-12.50%","16"
"Lyon","2020-03-14","continued","356","373","-17","-4.56%","377"
"Mineral","2020-03-14","continued","19","23","-4","-17.39%","22"
"Nye","2020-03-14","continued","208","219","-11","-5.02%","217"
"Pershing","2020-03-14","continued","20","24","-4","-16.67%","25"
"Storey","2020-03-14","continued","10","8","2","25.00%","9"
"Washoe","2020-03-14","continued","2,325","2,388","-63","-2.64%","2,406"
"White Pine","2020-03-14","continued","38","50","-12","-24.00%","46"
"Unknown","2020-03-14","continued","391","421","-30","-7.13%","417"
"Carson City","2020-03-07","initial","37","41","-4","-9.76%","40"
"Churchill","2020-03-07","initial","16","9","7","77.78%","13"
"Clark","2020-03-07","initial","2,106","2,139","-33","-1.54%","2,088"
"Douglas","2020-03-07","initial","21","21","0","0.00%","23"
"Elko","2020-03-07","initial","17","19","-2","-10.53%","23"
"Esmeralda","2020-03-07","initial","0","1","-1","-100.00%","0"
"Eureka","2020-03-07","initial","2","1","1","100.00%","1"
"Humboldt","2020-03-07","initial","6","7","-1","-14.29%","6"
"Lander","2020-03-07","initial","5","4","1","25.00%","3"
"Lincoln","2020-03-07","initial","2","2","0","0.00%","1"
"Lyon","2020-03-07","initial","45","54","-9","-16.67%","48"
"Mineral","2020-03-07","initial","1","2","-1","-50.00%","2"
"Nye","2020-03-07","initial","16","23","-7","-30.43%","22"
"Pershing","2020-03-07","initial","0","0","0","","1"
"Storey","2020-03-07","initial","0","4","-4","-100.00%","2"
"Washoe","2020-03-07","initial","306","298","8","2.68%","297"
"White Pine","2020-03-07","initial","0","2","-2","-100.00%","2"
"Unknown","2020-03-07","initial","95","84","11","13.10%","89"
"Carson City","2020-03-07","continued","378","391","-13","-3.32%","393"
"Churchill","2020-03-07","continued","111","113","-2","-1.77%","112"
"Clark","2020-03-07","continued","14,726","14,713","13","0.09%","14,497"
"Douglas","2020-03-07","continued","219","219","0","0.00%","222"
"Elko","2020-03-07","continued","245","274","-29","-10.58%","266"
"Esmeralda","2020-03-07","continued","4","4","0","0.00%","4"
"Eureka","2020-03-07","continued","6","4","2","50.00%","4"
"Humboldt","2020-03-07","continued","71","81","-10","-12.35%","76"
"Lander","2020-03-07","continued","45","50","-5","-10.00%","51"
"Lincoln","2020-03-07","continued","16","17","-1","-5.88%","17"
"Lyon","2020-03-07","continued","373","380","-7","-1.84%","387"
"Mineral","2020-03-07","continued","23","26","-3","-11.54%","23"
"Nye","2020-03-07","continued","219","225","-6","-2.67%","221"
"Pershing","2020-03-07","continued","24","29","-5","-17.24%","28"
"Storey","2020-03-07","continued","8","10","-2","-20.00%","8"
"Washoe","2020-03-07","continued","2,388","2,477","-89","-3.59%","2,465"
"White Pine","2020-03-07","continued","50","47","3","6.38%","50"
"Unknown","2020-03-07","continued","421","431","-10","-2.32%","433"
"Carson City","2020-02-29","initial","41","44","-3","-6.82%","40"
"Churchill","2020-02-29","initial","9","12","-3","-25.00%","12"
"Clark","2020-02-29","initial","2,139","1,810","329","18.18%","2,173"
"Douglas","2020-02-29","initial","21","26","-5","-19.23%","24"
"Elko","2020-02-29","initial","19","19","0","0.00%","27"
"Esmeralda","2020-02-29","initial","1","0","1","Inf","0"
"Eureka","2020-02-29","initial","1","1","0","0.00%","0"
"Humboldt","2020-02-29","initial","7","1","6","600.00%","9"
"Lander","2020-02-29","initial","4","1","3","300.00%","3"
"Lincoln","2020-02-29","initial","2","1","1","100.00%","1"
"Lyon","2020-02-29","initial","54","29","25","86.21%","50"
"Mineral","2020-02-29","initial","2","4","-2","-50.00%","2"
"Nye","2020-02-29","initial","23","19","4","21.05%","24"
"Pershing","2020-02-29","initial","0","3","-3","-100.00%","1"
"Storey","2020-02-29","initial","4","2","2","100.00%","2"
"Washoe","2020-02-29","initial","298","295","3","1.02%","304"
"White Pine","2020-02-29","initial","2","0","2","Inf","4"
"Unknown","2020-02-29","initial","84","88","-4","-4.55%","92"
"Carson City","2020-02-29","continued","391","394","-3","-0.76%","401"
"Churchill","2020-02-29","continued","113","111","2","1.80%","113"
"Clark","2020-02-29","continued","14,713","14,329","384","2.68%","14,253"
"Douglas","2020-02-29","continued","219","222","-3","-1.35%","224"
"Elko","2020-02-29","continued","274","270","4","1.48%","272"
"Esmeralda","2020-02-29","continued","4","4","0","0.00%","4"
"Eureka","2020-02-29","continued","4","3","1","33.33%","3"
"Humboldt","2020-02-29","continued","81","75","6","8.00%","76"
"Lander","2020-02-29","continued","50","51","-1","-1.96%","53"
"Lincoln","2020-02-29","continued","17","17","0","0.00%","16"
"Lyon","2020-02-29","continued","380","398","-18","-4.52%","398"
"Mineral","2020-02-29","continued","26","22","4","18.18%","23"
"Nye","2020-02-29","continued","225","215","10","4.65%","219"
"Pershing","2020-02-29","continued","29","28","1","3.57%","31"
"Storey","2020-02-29","continued","10","7","3","42.86%","8"
"Washoe","2020-02-29","continued","2,477","2,434","43","1.77%","2,508"
"White Pine","2020-02-29","continued","47","51","-4","-7.84%","50"
"Unknown","2020-02-29","continued","431","426","5","1.17%","444"
"Carson City","2020-02-22","initial","44","37","7","18.92%","44"
"Churchill","2020-02-22","initial","12","14","-2","-14.29%","14"
"Clark","2020-02-22","initial","1,810","2,297","-487","-21.20%","2,125"
"Douglas","2020-02-22","initial","26","23","3","13.04%","25"
"Elko","2020-02-22","initial","19","38","-19","-50.00%","31"
"Esmeralda","2020-02-22","initial","0","0","0","","0"
"Eureka","2020-02-22","initial","1","0","1","Inf","0"
"Humboldt","2020-02-22","initial","1","10","-9","-90.00%","8"
"Lander","2020-02-22","initial","1","1","0","0.00%","2"
"Lincoln","2020-02-22","initial","1","0","1","Inf","0"
"Lyon","2020-02-22","initial","29","62","-33","-53.23%","48"
"Mineral","2020-02-22","initial","4","2","2","100.00%","2"
"Nye","2020-02-22","initial","19","31","-12","-38.71%","26"
"Pershing","2020-02-22","initial","3","0","3","Inf","2"
"Storey","2020-02-22","initial","2","2","0","0.00%","2"
"Washoe","2020-02-22","initial","295","290","5","1.72%","315"
"White Pine","2020-02-22","initial","0","5","-5","-100.00%","6"
"Unknown","2020-02-22","initial","88","88","0","0.00%","103"
"Carson City","2020-02-22","continued","394","408","-14","-3.43%","406"
"Churchill","2020-02-22","continued","111","113","-2","-1.77%","113"
"Clark","2020-02-22","continued","14,329","14,219","110","0.77%","14,004"
"Douglas","2020-02-22","continued","222","227","-5","-2.20%","229"
"Elko","2020-02-22","continued","270","275","-5","-1.82%","266"
"Esmeralda","2020-02-22","continued","4","5","-1","-20.00%","5"
"Eureka","2020-02-22","continued","3","3","0","0.00%","3"
"Humboldt","2020-02-22","continued","75","77","-2","-2.60%","73"
"Lander","2020-02-22","continued","51","57","-6","-10.53%","55"
"Lincoln","2020-02-22","continued","17","18","-1","-5.56%","14"
"Lyon","2020-02-22","continued","398","397","1","0.25%","405"
"Mineral","2020-02-22","continued","22","22","0","0.00%","24"
"Nye","2020-02-22","continued","215","226","-11","-4.87%","216"
"Pershing","2020-02-22","continued","28","31","-3","-9.68%","31"
"Storey","2020-02-22","continued","7","8","-1","-12.50%","7"
"Washoe","2020-02-22","continued","2,434","2,560","-126","-4.92%","2,533"
"White Pine","2020-02-22","continued","51","53","-2","-3.77%","48"
"Unknown","2020-02-22","continued","426","454","-28","-6.17%","451"
"Carson City","2020-02-15","initial","37","40","-3","-7.50%","49"
"Churchill","2020-02-15","initial","14","12","2","16.67%","17"
"Clark","2020-02-15","initial","2,297","2,445","-148","-6.05%","2,116"
"Douglas","2020-02-15","initial","23","26","-3","-11.54%","24"
"Elko","2020-02-15","initial","38","33","5","15.15%","33"
"Esmeralda","2020-02-15","initial","0","0","0","","0"
"Eureka","2020-02-15","initial","0","0","0","","0"
"Humboldt","2020-02-15","initial","10","17","-7","-41.18%","10"
"Lander","2020-02-15","initial","1","5","-4","-80.00%","3"
"Lincoln","2020-02-15","initial","0","1","-1","-100.00%","1"
"Lyon","2020-02-15","initial","62","55","7","12.73%","55"
"Mineral","2020-02-15","initial","2","1","1","100.00%","2"
"Nye","2020-02-15","initial","31","23","8","34.78%","25"
"Pershing","2020-02-15","initial","0","1","-1","-100.00%","2"
"Storey","2020-02-15","initial","2","2","0","0.00%","1"
"Washoe","2020-02-15","initial","290","332","-42","-12.65%","316"
"White Pine","2020-02-15","initial","5","11","-6","-54.55%","6"
"Unknown","2020-02-15","initial","88","108","-20","-18.52%","110"
"Carson City","2020-02-15","continued","408","411","-3","-0.73%","408"
"Churchill","2020-02-15","continued","113","114","-1","-0.88%","114"
"Clark","2020-02-15","continued","14,219","13,751","468","3.40%","13,836"
"Douglas","2020-02-15","continued","227","228","-1","-0.44%","233"
"Elko","2020-02-15","continued","275","267","8","3.00%","263"
"Esmeralda","2020-02-15","continued","5","4","1","25.00%","5"
"Eureka","2020-02-15","continued","3","3","0","0.00%","3"
"Humboldt","2020-02-15","continued","77","70","7","10.00%","71"
"Lander","2020-02-15","continued","57","54","3","5.56%","56"
"Lincoln","2020-02-15","continued","18","11","7","63.64%","13"
"Lyon","2020-02-15","continued","397","415","-18","-4.34%","406"
"Mineral","2020-02-15","continued","22","23","-1","-4.35%","24"
"Nye","2020-02-15","continued","226","211","15","7.11%","216"
"Pershing","2020-02-15","continued","31","35","-4","-11.43%","32"
"Storey","2020-02-15","continued","8","6","2","33.33%","7"
"Washoe","2020-02-15","continued","2,560","2,563","-3","-0.12%","2,588"
"White Pine","2020-02-15","continued","53","47","6","12.77%","45"
"Unknown","2020-02-15","continued","454","467","-13","-2.78%","458"
"Carson City","2020-02-08","initial","40","55","-15","-27.27%","54"
"Churchill","2020-02-08","initial","12","20","-8","-40.00%","19"
"Clark","2020-02-08","initial","2,445","1,949","496","25.45%","2,054"
"Douglas","2020-02-08","initial","26","24","2","8.33%","26"
"Elko","2020-02-08","initial","33","34","-1","-2.94%","34"
"Esmeralda","2020-02-08","initial","0","0","0","","0"
"Eureka","2020-02-08","initial","0","0","0","","0"
"Humboldt","2020-02-08","initial","17","2","15","750.00%","11"
"Lander","2020-02-08","initial","5","2","3","150.00%","3"
"Lincoln","2020-02-08","initial","1","0","1","Inf","1"
"Lyon","2020-02-08","initial","55","44","11","25.00%","53"
"Mineral","2020-02-08","initial","1","1","0","0.00%","2"
"Nye","2020-02-08","initial","23","29","-6","-20.69%","23"
"Pershing","2020-02-08","initial","1","5","-4","-80.00%","3"
"Storey","2020-02-08","initial","2","0","2","Inf","1"
"Washoe","2020-02-08","initial","332","344","-12","-3.49%","344"
"White Pine","2020-02-08","initial","11","6","5","83.33%","8"
"Unknown","2020-02-08","initial","108","128","-20","-15.62%","123"
"Carson City","2020-02-08","continued","411","412","-1","-0.24%","403"
"Churchill","2020-02-08","continued","114","115","-1","-0.87%","117"
"Clark","2020-02-08","continued","13,751","13,718","33","0.24%","13,753"
"Douglas","2020-02-08","continued","228","238","-10","-4.20%","235"
"Elko","2020-02-08","continued","267","253","14","5.53%","260"
"Esmeralda","2020-02-08","continued","4","6","-2","-33.33%","5"
"Eureka","2020-02-08","continued","3","3","0","0.00%","2"
"Humboldt","2020-02-08","continued","70","70","0","0.00%","68"
"Lander","2020-02-08","continued","54","59","-5","-8.47%","57"
"Lincoln","2020-02-08","continued","11","10","1","10.00%","12"
"Lyon","2020-02-08","continued","415","411","4","0.97%","414"
"Mineral","2020-02-08","continued","23","27","-4","-14.81%","24"
"Nye","2020-02-08","continued","211","211","0","0.00%","219"
"Pershing","2020-02-08","continued","35","31","4","12.90%","32"
"Storey","2020-02-08","continued","6","7","-1","-14.29%","8"
"Washoe","2020-02-08","continued","2,563","2,574","-11","-0.43%","2,620"
"White Pine","2020-02-08","continued","47","42","5","11.90%","42"
"Unknown","2020-02-08","continued","467","458","9","1.97%","462"
"Carson City","2020-02-01","initial","55","65","-10","-15.38%","60"
"Churchill","2020-02-01","initial","20","21","-1","-4.76%","25"
"Clark","2020-02-01","initial","1,949","1,773","176","9.93%","1,990"
"Douglas","2020-02-01","initial","24","24","0","0.00%","32"
"Elko","2020-02-01","initial","34","28","6","21.43%","40"
"Esmeralda","2020-02-01","initial","0","0","0","","0"
"Eureka","2020-02-01","initial","0","2","-2","-100.00%","0"
"Humboldt","2020-02-01","initial","2","11","-9","-81.82%","12"
"Lander","2020-02-01","initial","2","4","-2","-50.00%","5"
"Lincoln","2020-02-01","initial","0","2","-2","-100.00%","1"
"Lyon","2020-02-01","initial","44","58","-14","-24.14%","60"
"Mineral","2020-02-01","initial","1","3","-2","-66.67%","4"
"Nye","2020-02-01","initial","29","17","12","70.59%","24"
"Pershing","2020-02-01","initial","5","4","1","25.00%","4"
"Storey","2020-02-01","initial","0","1","-1","-100.00%","0"
"Washoe","2020-02-01","initial","344","300","44","14.67%","370"
"White Pine","2020-02-01","initial","6","2","4","200.00%","6"
"Unknown","2020-02-01","initial","128","116","12","10.34%","135"
"Carson City","2020-02-01","continued","412","402","10","2.49%","400"
"Churchill","2020-02-01","continued","115","116","-1","-0.86%","118"
"Clark","2020-02-01","continued","13,718","13,656","62","0.45%","13,888"
"Douglas","2020-02-01","continued","238","239","-1","-0.42%","237"
"Elko","2020-02-01","continued","253","258","-5","-1.94%","260"
"Esmeralda","2020-02-01","continued","6","5","1","20.00%","6"
"Eureka","2020-02-01","continued","3","2","1","50.00%","2"
"Humboldt","2020-02-01","continued","70","66","4","6.06%","63"
"Lander","2020-02-01","continued","59","56","3","5.36%","55"
"Lincoln","2020-02-01","continued","10","13","-3","-23.08%","12"
"Lyon","2020-02-01","continued","411","402","9","2.24%","418"
"Mineral","2020-02-01","continued","27","22","5","22.73%","22"
"Nye","2020-02-01","continued","211","215","-4","-1.86%","231"
"Pershing","2020-02-01","continued","31","31","0","0.00%","30"
"Storey","2020-02-01","continued","7","8","-1","-12.50%","9"
"Washoe","2020-02-01","continued","2,574","2,654","-80","-3.01%","2,676"
"White Pine","2020-02-01","continued","42","38","4","10.53%","40"
"Unknown","2020-02-01","continued","458","453","5","1.10%","463"
"Carson City","2020-01-25","initial","65","57","8","14.04%","57"
"Churchill","2020-01-25","initial","21","23","-2","-8.70%","25"
"Clark","2020-01-25","initial","1,773","2,051","-278","-13.55%","1,960"
"Douglas","2020-01-25","initial","24","30","-6","-20.00%","33"
"Elko","2020-01-25","initial","28","40","-12","-30.00%","41"
"Esmeralda","2020-01-25","initial","0","0","0","","0"
"Eureka","2020-01-25","initial","2","0","2","Inf","0"
"Humboldt","2020-01-25","initial","11","14","-3","-21.43%","14"
"Lander","2020-01-25","initial","4","2","2","100.00%","6"
"Lincoln","2020-01-25","initial","2","0","2","Inf","1"
"Lyon","2020-01-25","initial","58","56","2","3.57%","65"
"Mineral","2020-01-25","initial","3","4","-1","-25.00%","5"
"Nye","2020-01-25","initial","17","23","-6","-26.09%","26"
"Pershing","2020-01-25","initial","4","3","1","33.33%","4"
"Storey","2020-01-25","initial","1","0","1","Inf","0"
"Washoe","2020-01-25","initial","300","401","-101","-25.19%","393"
"White Pine","2020-01-25","initial","2","11","-9","-81.82%","7"
"Unknown","2020-01-25","initial","116","140","-24","-17.14%","130"
"Carson City","2020-01-25","continued","402","386","16","4.15%","398"
"Churchill","2020-01-25","continued","116","124","-8","-6.45%","120"
"Clark","2020-01-25","continued","13,656","13,887","-231","-1.66%","14,187"
"Douglas","2020-01-25","continued","239","234","5","2.14%","235"
"Elko","2020-01-25","continued","258","264","-6","-2.27%","265"
"Esmeralda","2020-01-25","continued","5","6","-1","-16.67%","6"
"Eureka","2020-01-25","continued","2","2","0","0.00%","2"
"Humboldt","2020-01-25","continued","66","64","2","3.12%","58"
"Lander","2020-01-25","continued","56","59","-3","-5.08%","52"
"Lincoln","2020-01-25","continued","13","12","1","8.33%","14"
"Lyon","2020-01-25","continued","402","428","-26","-6.07%","423"
"Mineral","2020-01-25","continued","22","22","0","0.00%","20"
"Nye","2020-01-25","continued","215","239","-24","-10.04%","241"
"Pershing","2020-01-25","continued","31","29","2","6.90%","30"
"Storey","2020-01-25","continued","8","10","-2","-20.00%","10"
"Washoe","2020-01-25","continued","2,654","2,691","-37","-1.37%","2,738"
"White Pine","2020-01-25","continued","38","41","-3","-7.32%","37"
"Unknown","2020-01-25","continued","453","471","-18","-3.82%","468"
"Carson City","2020-01-18","initial","57","65","-8","-12.31%","54"
"Churchill","2020-01-18","initial","23","35","-12","-34.29%","24"
"Clark","2020-01-18","initial","2,051","2,187","-136","-6.22%","2,024"
"Douglas","2020-01-18","initial","30","48","-18","-37.50%","36"
"Elko","2020-01-18","initial","40","56","-16","-28.57%","43"
"Esmeralda","2020-01-18","initial","0","1","-1","-100.00%","1"
"Eureka","2020-01-18","initial","0","0","0","","0"
"Humboldt","2020-01-18","initial","14","20","-6","-30.00%","12"
"Lander","2020-01-18","initial","2","13","-11","-84.62%","5"
"Lincoln","2020-01-18","initial","0","3","-3","-100.00%","1"
"Lyon","2020-01-18","initial","56","83","-27","-32.53%","67"
"Mineral","2020-01-18","initial","4","7","-3","-42.86%","5"
"Nye","2020-01-18","initial","23","29","-6","-20.69%","29"
"Pershing","2020-01-18","initial","3","4","-1","-25.00%","4"
"Storey","2020-01-18","initial","0","0","0","","0"
"Washoe","2020-01-18","initial","401","435","-34","-7.82%","456"
"White Pine","2020-01-18","initial","11","6","5","83.33%","7"
"Unknown","2020-01-18","initial","140","157","-17","-10.83%","124"
"Carson City","2020-01-18","continued","386","398","-12","-3.02%","392"
"Churchill","2020-01-18","continued","124","118","6","5.08%","117"
"Clark","2020-01-18","continued","13,887","14,289","-402","-2.81%","14,394"
"Douglas","2020-01-18","continued","234","236","-2","-0.85%","226"
"Elko","2020-01-18","continued","264","267","-3","-1.12%","256"
"Esmeralda","2020-01-18","continued","6","6","0","0.00%","6"
"Eureka","2020-01-18","continued","2","3","-1","-33.33%","3"
"Humboldt","2020-01-18","continued","64","52","12","23.08%","53"
"Lander","2020-01-18","continued","59","47","12","25.53%","49"
"Lincoln","2020-01-18","continued","12","15","-3","-20.00%","13"
"Lyon","2020-01-18","continued","428","431","-3","-0.70%","416"
"Mineral","2020-01-18","continued","22","19","3","15.79%","18"
"Nye","2020-01-18","continued","239","259","-20","-7.72%","244"
"Pershing","2020-01-18","continued","29","29","0","0.00%","29"
"Storey","2020-01-18","continued","10","11","-1","-9.09%","11"
"Washoe","2020-01-18","continued","2,691","2,784","-93","-3.34%","2,667"
"White Pine","2020-01-18","continued","41","38","3","7.89%","36"
"Unknown","2020-01-18","continued","471","469","2","0.43%","476"
"Carson City","2020-01-11","initial","65","42","23","54.76%","55"
"Churchill","2020-01-11","initial","35","22","13","59.09%","22"
"Clark","2020-01-11","initial","2,187","1,827","360","19.70%","2,098"
"Douglas","2020-01-11","initial","48","30","18","60.00%","36"
"Elko","2020-01-11","initial","56","40","16","40.00%","43"
"Esmeralda","2020-01-11","initial","1","0","1","Inf","1"
"Eureka","2020-01-11","initial","0","0","0","","0"
"Humboldt","2020-01-11","initial","20","9","11","122.22%","9"
"Lander","2020-01-11","initial","13","3","10","333.33%","6"
"Lincoln","2020-01-11","initial","3","0","3","Inf","2"
"Lyon","2020-01-11","initial","83","62","21","33.87%","69"
"Mineral","2020-01-11","initial","7","7","0","0.00%","5"
"Nye","2020-01-11","initial","29","33","-4","-12.12%","29"
"Pershing","2020-01-11","initial","4","6","-2","-33.33%","4"
"Storey","2020-01-11","initial","0","1","-1","-100.00%","1"
"Washoe","2020-01-11","initial","435","436","-1","-0.23%","436"
"White Pine","2020-01-11","initial","6","10","-4","-40.00%","6"
"Unknown","2020-01-11","initial","157","109","48","44.04%","120"
"Carson City","2020-01-11","continued","398","408","-10","-2.45%","384"
"Churchill","2020-01-11","continued","118","122","-4","-3.28%","112"
"Clark","2020-01-11","continued","14,289","14,916","-627","-4.20%","14,529"
"Douglas","2020-01-11","continued","236","230","6","2.61%","222"
"Elko","2020-01-11","continued","267","270","-3","-1.11%","249"
"Esmeralda","2020-01-11","continued","6","6","0","0.00%","5"
"Eureka","2020-01-11","continued","3","3","0","0.00%","3"
"Humboldt","2020-01-11","continued","52","50","2","4.00%","51"
"Lander","2020-01-11","continued","47","46","1","2.17%","46"
"Lincoln","2020-01-11","continued","15","14","1","7.14%","14"
"Lyon","2020-01-11","continued","431","431","0","0.00%","406"
"Mineral","2020-01-11","continued","19","17","2","11.76%","17"
"Nye","2020-01-11","continued","259","251","8","3.19%","241"
"Pershing","2020-01-11","continued","29","29","0","0.00%","29"
"Storey","2020-01-11","continued","11","11","0","0.00%","10"
"Washoe","2020-01-11","continued","2,784","2,822","-38","-1.35%","2,606"
"White Pine","2020-01-11","continued","38","31","7","22.58%","35"
"Unknown","2020-01-11","continued","469","481","-12","-2.49%","482"
"Carson City","2020-01-04","initial","42","53","-11","-20.75%","57"
"Churchill","2020-01-04","initial","22","18","4","22.22%","22"
"Clark","2020-01-04","initial","1,827","2,029","-202","-9.96%","2,099"
"Douglas","2020-01-04","initial","30","34","-4","-11.76%","34"
"Elko","2020-01-04","initial","40","37","3","8.11%","39"
"Esmeralda","2020-01-04","initial","0","2","-2","-100.00%","0"
"Eureka","2020-01-04","initial","0","0","0","","0"
"Humboldt","2020-01-04","initial","9","4","5","125.00%","6"
"Lander","2020-01-04","initial","3","3","0","0.00%","5"
"Lincoln","2020-01-04","initial","0","1","-1","-100.00%","2"
"Lyon","2020-01-04","initial","62","67","-5","-7.46%","64"
"Mineral","2020-01-04","initial","7","3","4","133.33%","5"
"Nye","2020-01-04","initial","33","30","3","10.00%","30"
"Pershing","2020-01-04","initial","6","2","4","200.00%","3"
"Storey","2020-01-04","initial","1","1","0","0.00%","2"
"Washoe","2020-01-04","initial","436","550","-114","-20.73%","435"
"White Pine","2020-01-04","initial","10","2","8","400.00%","7"
"Unknown","2020-01-04","initial","109","90","19","21.11%","117"
"Carson City","2020-01-04","continued","408","375","33","8.80%","369"
"Churchill","2020-01-04","continued","122","104","18","17.31%","107"
"Clark","2020-01-04","continued","14,916","14,483","433","2.99%","14,432"
"Douglas","2020-01-04","continued","230","205","25","12.20%","214"
"Elko","2020-01-04","continued","270","224","46","20.54%","235"
"Esmeralda","2020-01-04","continued","6","4","2","50.00%","5"
"Eureka","2020-01-04","continued","3","3","0","0.00%","3"
"Humboldt","2020-01-04","continued","50","46","4","8.70%","52"
"Lander","2020-01-04","continued","46","45","1","2.22%","45"
"Lincoln","2020-01-04","continued","14","11","3","27.27%","14"
"Lyon","2020-01-04","continued","431","373","58","15.55%","392"
"Mineral","2020-01-04","continued","17","16","1","6.25%","16"
"Nye","2020-01-04","continued","251","225","26","11.56%","231"
"Pershing","2020-01-04","continued","29","28","1","3.57%","30"
"Storey","2020-01-04","continued","11","11","0","0.00%","10"
"Washoe","2020-01-04","continued","2,822","2,370","452","19.07%","2,505"
"White Pine","2020-01-04","continued","31","35","-4","-11.43%","34"
"Unknown","2020-01-04","continued","481","482","-1","-0.21%","478"
"Carson City","2019-12-28","initial","53","60","-7","-11.67%","66"
"Churchill","2019-12-28","initial","18","14","4","28.57%","25"
"Clark","2019-12-28","initial","2,029","2,351","-322","-13.70%","2,180"
"Douglas","2019-12-28","initial","34","32","2","6.25%","40"
"Elko","2019-12-28","initial","37","40","-3","-7.50%","40"
"Esmeralda","2019-12-28","initial","2","0","2","Inf","0"
"Eureka","2019-12-28","initial","0","1","-1","-100.00%","0"
"Humboldt","2019-12-28","initial","4","2","2","100.00%","6"
"Lander","2019-12-28","initial","3","7","-4","-57.14%","6"
"Lincoln","2019-12-28","initial","1","3","-2","-66.67%","2"
"Lyon","2019-12-28","initial","67","63","4","6.35%","78"
"Mineral","2019-12-28","initial","3","3","0","0.00%","4"
"Nye","2019-12-28","initial","30","25","5","20.00%","30"
"Pershing","2019-12-28","initial","2","2","0","0.00%","3"
"Storey","2019-12-28","initial","1","3","-2","-66.67%","2"
"Washoe","2019-12-28","initial","550","324","226","69.75%","504"
"White Pine","2019-12-28","initial","2","8","-6","-75.00%","6"
"Unknown","2019-12-28","initial","90","126","-36","-28.57%","132"
"Carson City","2019-12-28","continued","375","356","19","5.34%","341"
"Churchill","2019-12-28","continued","104","104","0","0.00%","95"
"Clark","2019-12-28","continued","14,483","14,428","55","0.38%","14,330"
"Douglas","2019-12-28","continued","205","217","-12","-5.53%","200"
