"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Storey","2015-04-19","continued","12","14","-2","-14.29%","13"
"Washoe","2015-04-19","continued","3,720","3,751","-31","-0.83%","3,805"
"White Pine","2015-04-19","continued","77","77","0","0.00%","78"
"Unknown","2015-04-19","continued","761","751","10","1.33%","759"
"Carson City","2015-04-11","initial","60","53","7","13.21%","55"
"Churchill","2015-04-11","initial","20","30","-10","-33.33%","21"
"Clark","2015-04-11","initial","2,407","2,465","-58","-2.35%","2,294"
"Douglas","2015-04-11","initial","42","39","3","7.69%","36"
"Elko","2015-04-11","initial","29","39","-10","-25.64%","37"
"Esmeralda","2015-04-11","initial","1","1","0","0.00%","1"
"Eureka","2015-04-11","initial","4","1","3","300.00%","2"
"Humboldt","2015-04-11","initial","13","9","4","44.44%","9"
"Lander","2015-04-11","initial","6","4","2","50.00%","5"
"Lincoln","2015-04-11","initial","3","4","-1","-25.00%","2"
"Lyon","2015-04-11","initial","69","70","-1","-1.43%","66"
"Mineral","2015-04-11","initial","3","3","0","0.00%","4"
"Nye","2015-04-11","initial","31","28","3","10.71%","29"
"Pershing","2015-04-11","initial","2","2","0","0.00%","1"
"Storey","2015-04-11","initial","0","3","-3","-100.00%","2"
"Washoe","2015-04-11","initial","442","403","39","9.68%","389"
"White Pine","2015-04-11","initial","8","5","3","60.00%","6"
"Unknown","2015-04-11","initial","152","120","32","26.67%","127"
"Carson City","2015-04-11","continued","508","512","-4","-0.78%","527"
"Churchill","2015-04-11","continued","232","236","-4","-1.69%","237"
"Clark","2015-04-11","continued","19,222","19,040","182","0.96%","19,218"
"Douglas","2015-04-11","continued","370","375","-5","-1.33%","381"
"Elko","2015-04-11","continued","341","342","-1","-0.29%","350"
"Esmeralda","2015-04-11","continued","6","6","0","0.00%","6"
"Eureka","2015-04-11","continued","15","13","2","15.38%","15"
"Humboldt","2015-04-11","continued","126","135","-9","-6.67%","140"
"Lander","2015-04-11","continued","76","77","-1","-1.30%","83"
"Lincoln","2015-04-11","continued","16","18","-2","-11.11%","19"
"Lyon","2015-04-11","continued","693","687","6","0.87%","691"
"Mineral","2015-04-11","continued","47","52","-5","-9.62%","53"
"Nye","2015-04-11","continued","306","316","-10","-3.16%","308"
"Pershing","2015-04-11","continued","28","33","-5","-15.15%","32"
"Storey","2015-04-11","continued","14","12","2","16.67%","13"
"Washoe","2015-04-11","continued","3,751","3,766","-15","-0.40%","3,883"
"White Pine","2015-04-11","continued","77","79","-2","-2.53%","78"
"Unknown","2015-04-11","continued","751","743","8","1.08%","768"
"Carson City","2015-04-04","initial","53","47","6","12.77%","52"
"Churchill","2015-04-04","initial","30","19","11","57.89%","22"
"Clark","2015-04-04","initial","2,465","2,082","383","18.40%","2,238"
"Douglas","2015-04-04","initial","39","27","12","44.44%","34"
"Elko","2015-04-04","initial","39","40","-1","-2.50%","34"
