CountyFips,County,Year,Week,Week ending,Initial claims,Change from prior week,% change,,,,
61,SNOHOMISH,2020,Week 06,02/09/20 - 02/15/20,757,-55,-6.8%,,,,
61,SNOHOMISH,2020,Week 07,02/16/20 - 02/22/20,617,-140,-18.5%,,,,
61,SNOHOMISH,2020,Week 08,02/23/20 - 02/29/20,594,-23,-3.7%,,,,
61,SNOHOMISH,2020,Week 09,03/01/20 - 03/07/20,733,139,23.4%,,,,
61,SNOHOMISH,2020,Week 10,03/08/20 - 03/14/20,1386,653,89.1%,,,,
61,SNOHOMISH,2020,Week 11,03/15/20 - 03/21/20,13692,12306,887.9%,,,,
61,SNOHOMISH,2020,Week 12,03/22/20 - 03/28/20,21176,7484,54.7%,,,,
61,SNOHOMISH,2020,Week 13,03/29/20 - 04/04/20,21148,-28,-0.1%,,,,
61,SNOHOMISH,2020,Week 14,04/05/20 - 04/11/20,27780,6632,31.4%,,,,
61,SNOHOMISH,2020,Week 15,04/12/20 - 04/18/20,10958,-16822,-60.6%,,,,
63,SPOKANE,2020,Week 01,01/05/20 - 01/11/20,763,129,20.3%,,,,
63,SPOKANE,2020,Week 02,01/12/20 - 01/18/20,659,-104,-13.6%,,,,
63,SPOKANE,2020,Week 03,01/19/20 - 01/25/20,622,-37,-5.6%,,,,
63,SPOKANE,2020,Week 04,01/26/20 - 02/01/20,586,-36,-5.8%,,,,
63,SPOKANE,2020,Week 05,02/02/20 - 02/08/20,575,-11,-1.9%,,,,
63,SPOKANE,2020,Week 06,02/09/20 - 02/15/20,491,-84,-14.6%,,,,
63,SPOKANE,2020,Week 07,02/16/20 - 02/22/20,477,-14,-2.9%,,,,
63,SPOKANE,2020,Week 08,02/23/20 - 02/29/20,442,-35,-7.3%,,,,
63,SPOKANE,2020,Week 09,03/01/20 - 03/07/20,459,17,3.8%,,,,
63,SPOKANE,2020,Week 10,03/08/20 - 03/14/20,455,-4,-0.9%,,,,
63,SPOKANE,2020,Week 11,03/15/20 - 03/21/20,8766,8311,1826.6%,,,,
63,SPOKANE,2020,Week 12,03/22/20 - 03/28/20,12102,3336,38.1%,,,,
63,SPOKANE,2020,Week 13,03/29/20 - 04/04/20,11347,-755,-6.2%,,,,
63,SPOKANE,2020,Week 14,04/05/20 - 04/11/20,8382,-2965,-26.1%,,,,
63,SPOKANE,2020,Week 15,04/12/20 - 04/18/20,5069,-3313,-39.5%,,,,
65,STEVENS,2020,Week 01,01/05/20 - 01/11/20,79,-4,-4.8%,,,,
65,STEVENS,2020,Week 02,01/12/20 - 01/18/20,77,-2,-2.5%,,,,
65,STEVENS,2020,Week 03,01/19/20 - 01/25/20,84,7,9.1%,,,,
65,STEVENS,2020,Week 04,01/26/20 - 02/01/20,75,-9,-10.7%,,,,
65,STEVENS,2020,Week 05,02/02/20 - 02/08/20,76,1,1.3%,,,,
65,STEVENS,2020,Week 06,02/09/20 - 02/15/20,45,-31,-40.8%,,,,
65,STEVENS,2020,Week 07,02/16/20 - 02/22/20,43,-2,-4.4%,,,,
65,STEVENS,2020,Week 08,02/23/20 - 02/29/20,66,23,53.5%,,,,
65,STEVENS,2020,Week 09,03/01/20 - 03/07/20,82,16,24.2%,,,,
65,STEVENS,2020,Week 10,03/08/20 - 03/14/20,49,-33,-40.2%,,,,
65,STEVENS,2020,Week 11,03/15/20 - 03/21/20,388,339,691.8%,,,,
65,STEVENS,2020,Week 12,03/22/20 - 03/28/20,744,356,91.8%,,,,
65,STEVENS,2020,Week 13,03/29/20 - 04/04/20,715,-29,-3.9%,,,,
65,STEVENS,2020,Week 14,04/05/20 - 04/11/20,439,-276,-38.6%,,,,
65,STEVENS,2020,Week 15,04/12/20 - 04/18/20,254,-185,-42.1%,,,,
67,THURSTON,2020,Week 01,01/05/20 - 01/11/20,342,81,31.0%,,,,
67,THURSTON,2020,Week 02,01/12/20 - 01/18/20,323,-19,-5.6%,,,,
67,THURSTON,2020,Week 03,01/19/20 - 01/25/20,305,-18,-5.6%,,,,
67,THURSTON,2020,Week 04,01/26/20 - 02/01/20,328,23,7.5%,,,,
67,THURSTON,2020,Week 05,02/02/20 - 02/08/20,319,-9,-2.7%,,,,
67,THURSTON,2020,Week 06,02/09/20 - 02/15/20,257,-62,-19.4%,,,,
