state_name,state_fips,state_abbrev,county_name,county_fips,year,month,unemployed,unemployment_rate
South Dakota,46,SD,Faulk,46049,2020,2,39,3.80%
South Dakota,46,SD,Grant,46051,2020,2,238,5.40%
South Dakota,46,SD,Gregory,46053,2020,2,74,3.70%
South Dakota,46,SD,Haakon,46055,2020,2,33,3.20%
South Dakota,46,SD,Hamlin,46057,2020,2,115,3.50%
South Dakota,46,SD,Hand,46059,2020,2,48,2.80%
South Dakota,46,SD,Hanson,46061,2020,2,108,6.20%
South Dakota,46,SD,Harding,46063,2020,2,18,2.50%
South Dakota,46,SD,Hughes,46065,2020,2,315,3.20%
South Dakota,46,SD,Hutchinson,46067,2020,2,152,4.20%
South Dakota,46,SD,Hyde,46069,2020,2,25,3.70%
South Dakota,46,SD,Jackson,46071,2020,2,69,6.20%
South Dakota,46,SD,Jerauld,46073,2020,2,26,2.40%
South Dakota,46,SD,Jones,46075,2020,2,19,3.80%
South Dakota,46,SD,Kingsbury,46077,2020,2,99,3.80%
South Dakota,46,SD,Lake,46079,2020,2,231,3.40%
South Dakota,46,SD,Lawrence,46081,2020,2,402,3.00%
South Dakota,46,SD,Lincoln,46083,2020,2,961,2.80%
South Dakota,46,SD,Lyman,46085,2020,2,83,5.20%
South Dakota,46,SD,McCook,46087,2020,2,129,5.50%
South Dakota,46,SD,McPherson,46089,2020,2,106,3.40%
South Dakota,46,SD,Marshall,46091,2020,2,51,5.20%
South Dakota,46,SD,Meade,46093,2020,2,518,3.70%
South Dakota,46,SD,Mellette,46095,2020,2,44,6.10%
South Dakota,46,SD,Miner,46097,2020,2,35,3.00%
South Dakota,46,SD,Minnehaha,46099,2020,2,"3,754",3.30%
South Dakota,46,SD,Moody,46101,2020,2,157,3.90%
South Dakota,46,SD,Pennington,46103,2020,2,293,8.30%
South Dakota,46,SD,Perkins,46105,2020,2,"2,092",3.70%
South Dakota,46,SD,Potter,46107,2020,2,46,3.30%
South Dakota,46,SD,Roberts,46109,2020,2,33,3.40%
South Dakota,46,SD,Sanborn,46111,2020,2,308,6.30%
South Dakota,46,SD,Shannon,46113,2020,2,42,3.70%
South Dakota,46,SD,Spink,46115,2020,2,150,4.80%
South Dakota,46,SD,Stanley,46117,2020,2,78,4.30%
South Dakota,46,SD,Sully,46119,2020,2,21,2.70%
South Dakota,46,SD,Todd,46121,2020,2,199,6.30%
South Dakota,46,SD,Tripp,46123,2020,2,90,3.00%
South Dakota,46,SD,Turner,46125,2020,2,182,3.90%
South Dakota,46,SD,Union,46127,2020,2,319,3.70%
South Dakota,46,SD,Walworth,46129,2020,2,152,7.20%
South Dakota,46,SD,Yankton,46135,2020,2,374,3.10%
South Dakota,46,SD,Ziebach,46137,2020,2,33,3.70%
South Dakota,46,SD,Aurora,46003,2020,1,46,3.10%
South Dakota,46,SD,Beadle,46005,2020,1,332,3.50%
South Dakota,46,SD,Bennett,46007,2020,1,63,5.80%
South Dakota,46,SD,Bon Homme,46009,2020,1,108,3.80%
South Dakota,46,SD,Brookings,46011,2020,1,718,3.80%
South Dakota,46,SD,Brown,46013,2020,1,730,3.50%
South Dakota,46,SD,Brule,46015,2020,1,86,3.60%
South Dakota,46,SD,Buffalo,46017,2020,1,41,6.20%
South Dakota,46,SD,Butte,46019,2020,1,202,4.10%
South Dakota,46,SD,Campbell,46021,2020,1,32,4.20%
South Dakota,46,SD,Charles Mix,46023,2020,1,144,3.90%
South Dakota,46,SD,Clark,46025,2020,1,95,5.00%
South Dakota,46,SD,Clay,46027,2020,1,259,3.40%
South Dakota,46,SD,Codington,46029,2020,1,542,3.50%
South Dakota,46,SD,Corson,46031,2020,1,71,5.30%
South Dakota,46,SD,Custer,46033,2020,1,220,5.50%
South Dakota,46,SD,Davison,46035,2020,1,376,3.40%
South Dakota,46,SD,Day,46037,2020,1,176,6.40%
South Dakota,46,SD,Deuel,46039,2020,1,171,8.10%
South Dakota,46,SD,Dewey,46041,2020,1,151,6.90%
South Dakota,46,SD,Douglas,46043,2020,1,56,3.60%
South Dakota,46,SD,Edmunds,46045,2020,1,69,3.40%
South Dakota,46,SD,Fall River,46047,2020,1,147,5.10%
South Dakota,46,SD,Faulk,46049,2020,1,39,3.80%
South Dakota,46,SD,Grant,46051,2020,1,232,5.20%
South Dakota,46,SD,Gregory,46053,2020,1,85,4.30%
South Dakota,46,SD,Haakon,46055,2020,1,34,3.30%
South Dakota,46,SD,Hamlin,46057,2020,1,125,3.80%
South Dakota,46,SD,Hand,46059,2020,1,53,3.00%
South Dakota,46,SD,Hanson,46061,2020,1,110,6.30%
South Dakota,46,SD,Harding,46063,2020,1,20,2.80%
South Dakota,46,SD,Hughes,46065,2020,1,320,3.20%
South Dakota,46,SD,Hutchinson,46067,2020,1,147,4.10%
South Dakota,46,SD,Hyde,46069,2020,1,27,3.90%
South Dakota,46,SD,Jackson,46071,2020,1,75,6.60%
South Dakota,46,SD,Jerauld,46073,2020,1,25,2.30%
South Dakota,46,SD,Jones,46075,2020,1,19,3.80%
South Dakota,46,SD,Kingsbury,46077,2020,1,95,3.70%
South Dakota,46,SD,Lake,46079,2020,1,249,3.80%
South Dakota,46,SD,Lawrence,46081,2020,1,435,3.30%
South Dakota,46,SD,Lincoln,46083,2020,1,"1,008",2.90%
South Dakota,46,SD,Lyman,46085,2020,1,86,5.30%
South Dakota,46,SD,McCook,46087,2020,1,117,5.00%
South Dakota,46,SD,McPherson,46089,2020,1,107,3.50%
South Dakota,46,SD,Marshall,46091,2020,1,53,5.30%
South Dakota,46,SD,Meade,46093,2020,1,552,3.90%
South Dakota,46,SD,Mellette,46095,2020,1,51,6.90%
South Dakota,46,SD,Miner,46097,2020,1,37,3.20%
South Dakota,46,SD,Minnehaha,46099,2020,1,"3,944",3.50%
South Dakota,46,SD,Moody,46101,2020,1,149,3.80%
South Dakota,46,SD,Pennington,46103,2020,1,325,9.20%
South Dakota,46,SD,Perkins,46105,2020,1,"2,138",3.80%
South Dakota,46,SD,Potter,46107,2020,1,42,3.00%
South Dakota,46,SD,Roberts,46109,2020,1,36,3.70%
South Dakota,46,SD,Sanborn,46111,2020,1,303,6.20%
South Dakota,46,SD,Shannon,46113,2020,1,42,3.70%
South Dakota,46,SD,Spink,46115,2020,1,144,4.60%
South Dakota,46,SD,Stanley,46117,2020,1,76,4.10%
South Dakota,46,SD,Sully,46119,2020,1,24,3.10%
South Dakota,46,SD,Todd,46121,2020,1,220,7.00%
South Dakota,46,SD,Tripp,46123,2020,1,97,3.20%
South Dakota,46,SD,Turner,46125,2020,1,197,4.20%
