state_name,state_fips,state_abbrev,county_name,county_fips,year,week,Total,,,
Maryland,24,MD,Queen Anne's,24035,2020,21-Mar,455,,,
Maryland,24,MD,Somerset,24037,2020,21-Mar,128,,,
Maryland,24,MD,St. Mary's,24039,2020,21-Mar,547,,,
Maryland,24,MD,Talbot,24041,2020,21-Mar,456,,,
Maryland,24,MD,Washington,24043,2020,21-Mar,1238,,,
Maryland,24,MD,Wicomico,24045,2020,21-Mar,922,,,
Maryland,24,MD,Worcester,24047,2020,21-Mar,971,,,
Maryland,24,MD,Allegany,24001,2020,14-Mar,62,,,
Maryland,24,MD,Anne Arundel,24003,2020,14-Mar,281,,,
Maryland,24,MD,Baltimore City,24510,2020,14-Mar,746,,,
Maryland,24,MD,Baltimore County,24005,2020,14-Mar,568,,,
Maryland,24,MD,Calvert,24009,2020,14-Mar,42,,,
Maryland,24,MD,Caroline,24011,2020,14-Mar,23,,,
Maryland,24,MD,Carroll,24013,2020,14-Mar,75,,,
Maryland,24,MD,Cecil,24015,2020,14-Mar,41,,,
Maryland,24,MD,Charles,24017,2020,14-Mar,116,,,
Maryland,24,MD,Dorchester,24019,2020,14-Mar,22,,,
Maryland,24,MD,Frederick,24021,2020,14-Mar,100,,,
Maryland,24,MD,Garrett,24023,2020,14-Mar,18,,,
Maryland,24,MD,Harford,24025,2020,14-Mar,122,,,
Maryland,24,MD,Howard,24027,2020,14-Mar,121,,,
Maryland,24,MD,Kent,24029,2020,14-Mar,5,,,
Maryland,24,MD,Montgomery,24031,2020,14-Mar,256,,,
Maryland,24,MD,Non - Maryland,,2020,14-Mar,449,,,
Maryland,24,MD,Prince George's,24033,2020,14-Mar,518,,,
Maryland,24,MD,Queen Anne's,24035,2020,14-Mar,11,,,
Maryland,24,MD,Somerset,24037,2020,14-Mar,10,,,
Maryland,24,MD,St. Mary's,24039,2020,14-Mar,48,,,
Maryland,24,MD,Talbot,24041,2020,14-Mar,15,,,
Maryland,24,MD,Washington,24043,2020,14-Mar,95,,,
Maryland,24,MD,Wicomico,24045,2020,14-Mar,78,,,
Maryland,24,MD,Worcester,24047,2020,14-Mar,30,,,
Maryland,24,MD,Allegany,24001,2020,7-Mar,30,,,
Maryland,24,MD,Anne Arundel,24003,2020,7-Mar,146,,,
Maryland,24,MD,Baltimore City,24510,2020,7-Mar,378,,,
Maryland,24,MD,Baltimore County,24005,2020,7-Mar,321,,,
Maryland,24,MD,Calvert,24009,2020,7-Mar,30,,,
Maryland,24,MD,Caroline,24011,2020,7-Mar,14,,,
Maryland,24,MD,Carroll,24013,2020,7-Mar,31,,,
Maryland,24,MD,Cecil,24015,2020,7-Mar,29,,,
Maryland,24,MD,Charles,24017,2020,7-Mar,50,,,
Maryland,24,MD,Dorchester,24019,2020,7-Mar,29,,,
Maryland,24,MD,Frederick,24021,2020,7-Mar,51,,,
Maryland,24,MD,Garrett,24023,2020,7-Mar,11,,,
Maryland,24,MD,Harford,24025,2020,7-Mar,89,,,
Maryland,24,MD,Howard,24027,2020,7-Mar,62,,,
Maryland,24,MD,Kent,24029,2020,7-Mar,4,,,
Maryland,24,MD,Montgomery,24031,2020,7-Mar,195,,,
Maryland,24,MD,Non - Maryland,,2020,7-Mar,208,,,
Maryland,24,MD,Prince George's,24033,2020,7-Mar,257,,,
Maryland,24,MD,Queen Anne's,24035,2020,7-Mar,7,,,
Maryland,24,MD,Somerset,24037,2020,7-Mar,7,,,
Maryland,24,MD,St. Mary's,24039,2020,7-Mar,24,,,
Maryland,24,MD,Talbot,24041,2020,7-Mar,6,,,
Maryland,24,MD,Washington,24043,2020,7-Mar,42,,,
Maryland,24,MD,Wicomico,24045,2020,7-Mar,36,,,
Maryland,24,MD,Worcester,24047,2020,7-Mar,33,,,
