state_name,state_fips,state_abbrev,county_name,county_fips,year,month,initial_claims
Pennsylvania,42,PA,Adams,42001,2019,1,720
Pennsylvania,42,PA,Adams,42001,2020,1,660
Pennsylvania,42,PA,Adams,42001,2020,12,1020
Pennsylvania,42,PA,Allegheny,42003,2019,1,9400
Pennsylvania,42,PA,Allegheny,42003,2020,1,8430
Pennsylvania,42,PA,Allegheny,42003,2020,12,9370
Pennsylvania,42,PA,Armstrong,42005,2019,1,1030
Pennsylvania,42,PA,Armstrong,42005,2020,1,970
Pennsylvania,42,PA,Armstrong,42005,2020,12,1280
Pennsylvania,42,PA,Beaver,42007,2019,1,1500
Pennsylvania,42,PA,Beaver,42007,2020,1,1730
Pennsylvania,42,PA,Beaver,42007,2020,12,2050
Pennsylvania,42,PA,Bedford,42009,2019,1,600
Pennsylvania,42,PA,Bedford,42009,2020,1,680
Pennsylvania,42,PA,Bedford,42009,2020,12,760
Pennsylvania,42,PA,Berks,42011,2019,1,3180
Pennsylvania,42,PA,Berks,42011,2020,1,3140
Pennsylvania,42,PA,Berks,42011,2020,12,3710
Pennsylvania,42,PA,Blair,42013,2019,1,1150
Pennsylvania,42,PA,Blair,42013,2020,1,1090
Pennsylvania,42,PA,Blair,42013,2020,12,1290
Pennsylvania,42,PA,Bradford,42015,2019,1,360
Pennsylvania,42,PA,Bradford,42015,2020,1,440
Pennsylvania,42,PA,Bradford,42015,2020,12,590
Pennsylvania,42,PA,Bucks,42017,2019,1,3630
Pennsylvania,42,PA,Bucks,42017,2020,1,3390
Pennsylvania,42,PA,Bucks,42017,2020,12,3370
Pennsylvania,42,PA,Butler,42019,2019,1,1730
Pennsylvania,42,PA,Butler,42019,2020,1,1580
Pennsylvania,42,PA,Butler,42019,2020,12,2210
Pennsylvania,42,PA,Cambria,42021,2019,1,1370
Pennsylvania,42,PA,Cambria,42021,2020,1,1320
Pennsylvania,42,PA,Cambria,42021,2020,12,1700
Pennsylvania,42,PA,Cameron,42023,2019,1,80
