Unemployment Claims Filed in Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,52-week change,,Percent change,,,,,,,,,,,,,,,,,,,,
Week ending,Total,UI*,UCFE,UCX," EUC
 Tier 1"," EUC
 Tier 2"," EUC
 Tier 3"," EUC
 Tier 4",EB,Total,UI,Total,UI,Initial Claims*,,,,,,,,,,,,,,,,,,
12/7/13,"51,568","36,128",384,278,"7,577","4,062","3,047",89,3,"-12,293","-2,442",-19.2%,-6.3%,"4,837",,,,,,,,,,,,,,,,,,
12/14/13,"50,663","35,594",367,270,"7,447","4,025","2,883",74,3,"-11,686","-2,309",-18.7%,-6.1%,"4,376",,,,,,,,,,,,,,,,,,
12/21/13,"49,850","35,153",406,289,"7,354","3,804","2,769",72,3,"-11,291","-2,066",-18.5%,-5.6%,"4,258",,,,,,,,,,,,,,,,,,
12/28/13,"49,127","34,598",390,272,"7,238","3,790","2,775",61,3,"-10,049","-1,408",-17.0%,-3.9%,"3,078",,,,,,,,,,,,,,,,,,
1/4/14,"49,485","35,059",419,280,"7,119","3,788","2,757",60,3,"-11,282","-2,447",-18.6%,-6.5%,"4,189",,,,,,,,,,,,,,,,,,
1/11/14,"48,598","35,512",433,268,"6,125","3,885","2,306",68,1,"-11,973","-2,574",-19.8%,-6.8%,"6,359",,,,,,,,,,,,,,,,,,
1/18/14,"48,224","36,075",453,267,"5,693","3,589","2,090",57,0,"-13,383","-2,575",-21.7%,-6.7%,"5,398",,,,,,,,,,,,,,,,,,
1/25/14,"47,128","35,824",420,256,"5,460","3,241","1,875",50,2,"-12,430","-1,940",-20.9%,-5.1%,"4,799",,,,,,,,,,,,,,,,,,
2/1/14,"47,173","36,256",419,250,"5,482","2,995","1,714",57,0,"-15,083","-2,993",-24.2%,-7.6%,"4,782",,,,,,,,,,,,,,,,,,
2/8/14,"46,363","36,046",422,245,"5,333","2,761","1,507",49,0,"-13,788","-2,061",-22.9%,-5.4%,"4,973",,,,,,,,,,,,,,,,,,
2/15/14,"46,045","36,293",424,279,"5,220","2,428","1,357",44,0,"-14,146","-1,628",-23.5%,-4.3%,"4,299",,,,,,,,,,,,,,,,,,
2/22/14,"45,060","35,842",435,249,"5,098","2,215","1,185",36,0,"-13,414",-978,-22.9%,-2.7%,"4,098",,,,,,,,,,,,,,,,,,
3/1/14,"43,917","37,858",401,282,"3,407","1,300",663,6,0,"-17,532",-438,-28.5%,-1.1%,"4,414",,,,,,,,,,,,,,,,,,
3/8/14,"41,599","40,830",422,303,41,1,2,0,0,"-18,174","3,324",-30.4%,8.9%,"4,709",,,,,,,,,,,,,,,,,,
3/15/14,"40,483","39,736",381,302,58,3,3,0,0,"-18,446","3,063",-31.3%,8.4%,"4,437",,,,,,,,,,,,,,,,,,
3/22/14,"38,781","38,107",344,274,39,1,16,0,0,"-18,939","2,173",-32.8%,6.0%,"4,645",,,,,,,,,,,,,,,,,,
3/29/14,"38,620","37,920",355,303,25,3,6,8,0,"-19,570","1,838",-33.6%,5.1%,"5,081",,,,,,,,,,,,,,,,,,
4/5/14,"35,800","35,218",284,270,11,3,5,9,0,"-21,614",-394,-37.6%,-1.1%,"6,321",,,,,,,,,,,,,,,,,,
4/12/14,"36,971","36,383",271,276,34,4,3,0,0,"-22,468",-288,-37.8%,-0.8%,"7,736",,,,,,,,,,,,,,,,,,
4/19/14,"38,563","38,041",228,285,9,0,0,0,0,"-22,096",-522,-36.4%,-1.4%,"6,531",,,,,,,,,,,,,,,,,,
4/26/14,"40,395","39,864",216,294,18,3,0,0,0,"-22,521",-729,-35.8%,-1.8%,"5,592",,,,,,,,,,,,,,,,,,
5/3/14,"40,752","40,281",185,253,31,2,0,0,0,"-22,994","-1,536",-36.1%,-3.7%,"5,025",,,,,,,,,,,,,,,,,,
5/10/14,"40,978","40,520",170,270,17,1,0,0,0,"-22,723","-1,247",-35.7%,-3.0%,"4,853",,,,,,,,,,,,,,,,,,
5/17/14,"40,787","40,343",162,272,8,2,0,0,0,"-23,090","-1,836",-36.1%,-4.4%,"5,042",,,,,,,,,,,,,,,,,,
5/24/14,"41,042","40,602",144,281,15,0,0,0,0,"-22,719","-1,462",-35.6%,-3.5%,"5,301",,,,,,,,,,,,,,,,,,
5/31/14,"40,770","40,287",188,289,6,0,0,0,0,"-20,890",-561,-33.9%,-1.4%,"5,469",,,,,,,,,,,,,,,,,,
6/7/14,"42,811","42,203",262,288,33,0,0,25,0,"-21,115",-625,-33.0%,-1.5%,"6,100",,,,,,,,,,,,,,,,,,
6/14/14,"43,150","42,574",311,260,3,0,0,2,0,"-21,466","-1,051",-33.2%,-2.4%,"5,255",,,,,,,,,,,,,,,,,,
6/21/14,"43,382","42,784",307,291,0,0,0,0,0,"-20,926","-1,034",-32.5%,-2.4%,"4,960",,,,,,,,,,,,,,,,,,
6/28/14,"43,715","43,149",305,287,0,0,0,32,0,"-21,040","-1,071",-32.5%,-2.4%,"5,176",,,,,,,,,,,,,,,,,,
7/5/14,"41,590","41,070",324,274,0,0,0,0,0,"-20,549","-1,909",-33.1%,-4.4%,"5,131",,,,,,,,,,,,,,,,,,
7/12/14,"45,973","45,393",346,298,0,0,0,0,0,"-16,166","2,428",-26.0%,5.7%,"7,668",,,,,,,,,,,,,,,,,,
7/19/14,"46,122","45,495",391,272,2,0,0,0,0,"-16,017","2,556",-25.8%,6.0%,"5,395",,,,,,,,,,,,,,,,,,
7/26/14,"46,362","45,728",378,301,1,0,0,0,0,"-15,777","2,781",-25.4%,6.5%,"4,992",,,,,,,,,,,,,,,,,,
8/2/14,"45,672","45,034",346,308,39,0,0,0,0,"-16,467","2,078",-30.8%,-5.2%,"4,744",,,,,,,,,,,,,,,,,,
8/9/14,"45,060","44,549",252,291,0,0,2,4,0,"-17,079","1,610",-27.5%,3.8%,"4,787",,,,,,,,,,,,,,,,,,
8/16/14,"43,959","43,494",192,309,0,0,1,0,0,"-18,180",556,-29.3%,1.3%,"4,381",,,,,,,,,,,,,,,,,,
8/23/14,"43,362","41,987",172,312,946,2,0,15,0,"-21,496","-4,104",-33.1%,-8.9%,"4,296",,,,,,,,,,,,,,,,,,
8/30/14,"40,827","40,438",143,293,1,0,0,12,0,"-21,873","-3,616",-34.9%,-8.2%,"4,221",,,,,,,,,,,,,,,,,,
9/6/14,"39,374","38,953",150,305,1,0,0,8,0,"-20,670","-3,018",-34.4%,-7.2%,"3,741",,,,,,,,,,,,,,,,,,
9/13/14,"38,473","38,061",143,301,1,0,0,0,0,"-21,165","-3,229",-35.5%,-7.8%,"4,183",,,,,,,,,,,,,,,,,,
9/20/14,"37,741","37,292",146,302,1,0,0,0,0,"-21,245","-3,604",-36.0%,-8.8%,"4,384",,,,,,,,,,,,,,,,,,
9/27/14,"36,931","36,500",147,283,1,0,0,0,0,"-21,606","-3,977",-36.9%,-9.8%,"4,395",,,,,,,,,,,,,,,,,,
10/4/14,"35,989","35,554",146,286,1,0,0,2,0,"-21,459","-4,020",-37.4%,-10.2%,"4,455",,,,,,,,,,,,,,,,,,
10/11/14,"35,221","34,761",141,278,0,0,0,41,0,"-20,814","-3,851",-37.1%,-10.0%,"4,781",,,,,,,,,,,,,,,,,,
10/18/14,"34,613","34,155",173,284,1,0,0,0,0,"-21,126","-4,445",-37.9%,-11.5%,"4,299",,,,,,,,,,,,,,,,,,
10/25/14,"33,862","33,416",179,266,1,0,0,0,0,"-21,969","-5,064",-39.3%,-13.2%,"4,298",,,,,,,,,,,,,,,,,,
11/1/14,"33,910","33,391",216,290,1,0,0,12,0,"-20,924","-4,090",-38.2%,-10.9%,"4,029",,,,,,,,,,,,,,,,,,
11/8/14,"32,655","32,157",216,281,1,0,0,0,0,"-22,042","-5,131",-40.3%,-13.8%,"4,494",,,,,,,,,,,,,,,,,,
11/15/14,"31,619","31,118",226,273,1,0,0,1,0,"-21,929","-5,387",-41.0%,-14.8%,"3,947",,,,,,,,,,,,,,,,,,
11/22/14,"31,472","30,966",231,274,1,0,0,0,0,"-22,053","-5,716",-41.2%,-15.6%,"4,427",,,,,,,,,,,,,,,,,,
11/29/14,"29,122","28,617",235,269,1,0,0,0,0,"-20,216","-5,480",-41.0%,-16.1%,"3,007",,,,,,,,,,,,,,,,,,
12/6/14,"31,222","30,647",280,291,1,0,0,3,0,"-20,346","-5,481",-39.5%,-15.2%,"4,486",,,,,,,,,,,,,,,,,,
12/13/14,"30,095","29,564",258,272,1,0,0,0,0,"-20,568","-6,030",-40.6%,-16.9%,"3,926",,,,,,,,,,,,,,,,,,
12/20/14,"30,270","29,677",301,291,1,0,0,0,0,"-19,580","-5,476",-39.3%,-15.6%,"3,942",,,,,,,,,,,,,,,,,,
12/27/14,"28,999","28,468",278,252,1,0,0,0,0,"-20,128","-6,130",-41.0%,-17.7%,"2,672",,,,,,,,,,,,,,,,,,
1/3/15,"30,454","29,869",329,255,1,0,0,0,0,"-19,031","-5,190",-38.5%,-14.8%,"3,372",,,,,,,,,,,,,,,,,,
1/10/15,"30,692","30,101",332,258,1,0,0,0,0,"-17,906","-5,411",-36.8%,-15.2%,"5,537",,,,,,,,,,,,,,,,,,
1/17/15,"30,889","30,285",356,247,1,0,0,0,0,"-17,335","-5,790",-35.9%,-16.0%,"4,579",,,,,,,,,,,,,,,,,,
1/24/15,"30,079","29,545",297,236,1,0,0,0,0,"-17,049","-6,279",-36.2%,-17.5%,"3,949",,,,,,,,,,,,,,,,,,
1/31/15,"30,909","30,330",330,248,1,0,0,0,0,"-16,264","-5,926",-34.5%,-16.3%,"4,067",,,,,,,,,,,,,,,,,,
2/7/15,"30,081","29,560",310,210,1,0,0,0,0,"-16,282","-6,486",-35.1%,-18.0%,"3,926",,,,,,,,,,,,,,,,,,
2/14/15,"29,790","29,271",303,215,1,0,0,0,0,"-16,255","-7,022",-35.3%,-19.3%,"3,652",,,,,,,,,,,,,,,,,,
2/21/15,"29,214","28,727",295,191,1,0,0,0,0,"-15,846","-7,115",-35.2%,-19.9%,"3,521",,,,,,,,,,,,,,,,,,
2/28/15,"29,298","28,760",321,207,10,0,0,0,0,"-14,619","-9,098",-33.3%,-24.0%,"3,724",,,,,,,,,,,,,,,,,,
3/7/15,"28,827","28,350",270,206,1,0,0,0,0,"-12,772","-12,480",-30.7%,-30.6%,"3,994",,,,,,,,,,,,,,,,,,
3/14/15,"29,227","28,719",288,220,0,0,0,0,0,"-11,256","-11,017",-27.8%,-27.7%,"3,605",,,,,,,,,,,,,,,,,,
3/21/15,"29,178","28,727",256,195,0,0,0,0,0,"-9,603","-9,380",-24.8%,-24.6%,"3,902",,,,,,,,,,,,,,,,,,
3/28/15,"29,312","28,802",274,236,0,0,0,0,0,"-9,308","-9,118",-24.1%,-24.0%,"4,064",,,,,,,,,,,,,,,,,,
4/4/15,"29,119","28,685",211,223,0,0,0,0,0,"-6,681","-6,533",-18.7%,-18.6%,"5,107",,,,,,,,,,,,,,,,,,
4/11/15,"29,757","29,327",226,204,0,0,0,0,0,"-7,214","-7,056",-19.5%,-19.4%,"7,110",,,,,,,,,,,,,,,,,,
4/18/15,"32,205","31,806",171,210,0,18,0,0,0,"-6,358","-6,235",-16.5%,-16.4%,"5,897",,,,,,,,,,,,,,,,,,
4/25/15,"33,745","33,367",165,213,0,0,0,0,0,"-6,650","-6,497",-16.5%,-16.3%,"4,848",,,,,,,,,,,,,,,,,,
5/2/15,"34,266","33,910",136,220,0,0,0,0,0,"-6,486","-6,371",-15.9%,-15.8%,"4,563",,,,,,,,,,,,,,,,,,
5/9/15,"34,245","33,892",144,205,0,4,0,0,0,"-6,733","-6,628",-16.4%,-16.4%,"4,499",,,,,,,,,,,,,,,,,,
5/16/15,"34,238","33,927",115,196,0,0,0,0,0,"-6,549","-6,416",-16.1%,-15.9%,"4,466",,,,,,,,,,,,,,,,,,
5/23/15,"34,404","34,064",127,213,0,0,0,0,0,"-6,638","-6,538",-16.2%,-16.1%,"4,409",,,,,,,,,,,,,,,,,,
5/30/15,"34,280","33,933",120,227,0,0,0,0,0,"-6,490","-6,354",-15.9%,-15.8%,"4,649",,,,,,,,,,,,,,,,,,
6/6/15,"35,541","35,105",225,211,0,0,0,0,0,"-7,270","-7,098",-17.0%,-16.8%,"5,169",,,,,,,,,,,,,,,,,,
6/13/15,"36,386","35,908",269,209,0,0,0,0,0,"-6,764","-6,666",-15.7%,-15.7%,"4,361",,,,,,,,,,,,,,,,,,
6/20/15,"36,891","36,382",289,220,0,0,0,0,0,"-6,491","-6,402",-15.0%,-15.0%,"4,278",,,,,,,,,,,,,,,,,,
6/27/15,"36,801","36,296",299,206,0,0,0,0,0,"-6,914","-6,853",-15.8%,-15.9%,"4,400",,,,,,,,,,,,,,,,,,
7/4/15,"35,605","35,124",298,183,0,0,0,0,0,"-5,985","-5,946",-14.4%,-14.5%,"4,426",,,,,,,,,,,,,,,,,,
7/11/15,"38,544","37,983",355,206,0,0,0,0,0,"-7,429","-7,410",-16.2%,-16.3%,"7,317",,,,,,,,,,,,,,,,,,
7/18/15,"39,671","39,105",345,221,0,0,0,0,0,"-6,451","-6,390",-14.0%,-14.0%,"5,109",,,,,,,,,,,,,,,,,,
7/25/15,"40,570","39,986",369,215,0,0,0,0,0,"-5,792","-5,742",-12.5%,-12.6%,"4,466",,,,,,,,,,,,,,,,,,
8/1/15,"40,343","39,771",357,215,0,0,0,0,0,"-5,329","-5,263",-11.7%,-11.7%,"4,385",,,,,,,,,,,,,,,,,,
8/8/15,"39,995","39,512",289,194,0,0,0,0,0,"-5,065","-5,037",-11.2%,-11.3%,"4,367",,,,,,,,,,,,,,,,,,
8/15/15,"39,295","38,879",204,212,0,0,0,0,0,"-4,664","-4,615",-10.6%,-10.6%,"4,147",,,,,,,,,,,,,,,,,,
8/22/15,"38,400","37,997",185,218,0,0,0,0,0,"-4,962","-3,990",-11.4%,-9.5%,"3,863",,,,,,,,,,,,,,,,,,
8/29/15,"37,674","37,297",153,224,0,0,0,0,0,"-3,153","-3,141",-7.7%,-7.8%,"3,797",,,,,,,,,,,,,,,,,,
9/5/15,"35,935","35,587",141,207,0,0,0,0,0,"-3,439","-3,366",-8.7%,-8.6%,"3,972",,,,,,,,,,,,,,,,,,
9/12/15,"34,747","34,404",134,209,0,0,0,0,0,"-3,726","-3,657",-9.7%,-9.6%,"3,277",,,,,,,,,,,,,,,,,,
9/19/15,"34,618","34,283",135,200,0,0,0,0,0,"-3,123","-3,009",-8.3%,-8.1%,"3,742",,,,,,,,,,,,,,,,,,
9/26/15,"33,247","32,945",129,172,1,0,0,0,0,"-3,684","-3,555",-10.0%,-9.7%,"3,439",,,,,,,,,,,,,,,,,,
10/3/15,"32,858","32,529",136,192,1,0,0,0,0,"-3,131","-3,025",-8.7%,-8.5%,"4,161",,,,,,,,,,,,,,,,,,
10/10/15,"31,428","31,105",154,168,1,0,0,0,0,"-3,793","-3,656",-10.8%,-10.5%,"4,347",,,,,,,,,,,,,,,,,,
10/17/15,"30,931","30,606",151,173,1,0,0,0,0,"-3,682","-3,549",-10.6%,-10.4%,"3,753",,,,,,,,,,,,,,,,,,
10/24/15,"30,874","30,526",152,195,1,0,0,0,0,"-2,988","-2,890",-8.8%,-8.6%,"3,867",,,,,,,,,,,,,,,,,,
10/31/15,"29,798","29,444",175,178,1,0,0,0,0,"-4,112","-3,947",-12.1%,-11.8%,"3,702",,,,,,,,,,,,,,,,,,
11/7/15,"29,510","29,144",188,177,1,0,0,0,0,"-3,145","-3,013",-9.6%,-9.4%,"4,235",,,,,,,,,,,,,,,,,,
11/14/15,"28,473","28,069",217,186,1,0,0,0,0,"-3,146","-3,049",-9.9%,-9.8%,"3,674",,,,,,,,,,,,,,,,,,
11/21/15,"28,508","28,102",221,184,1,0,0,0,0,"-2,964","-2,864",-9.4%,-9.2%,"4,073",,,,,,,,,,,,,,,,,,
11/28/15,"26,630","26,218",220,191,1,0,0,0,0,"-2,492","-2,399",-8.6%,-8.4%,"2,581",,,,,,,,,,,,,,,,,,
12/5/15,"28,228","27,792",239,196,1,0,0,0,0,"-2,994","-2,855",-9.6%,-9.3%,"3,930",,,,,,,,,,,,,,,,,,
12/12/15,"26,941","26,491",250,199,1,0,0,0,0,"-3,154","-3,073",-10.5%,-10.4%,"4,008",,,,,,,,,,,,,,,,,,
12/19/15,"27,246","26,797",252,196,1,0,0,0,0,"-3,024","-2,880",-10.0%,-9.7%,"3,845",,,,,,,,,,,,,,,,,,
12/26/15,"25,783","25,321",292,170,0,0,0,0,0,"-3,216","-3,147",-11.1%,-11.1%,"2,583",,,,,,,,,,,,,,,,,,
1/2/16,"27,458","26,978",296,179,5,0,0,0,0,"-2,996","-2,891",-9.8%,-9.7%,"3,031",,,,,,,,,,,,,,,,,,
1/9/16,"28,085","27,572",344,169,0,0,0,0,0,"-2,607","-2,529",-8.5%,-8.4%,"5,595",,,,,,,,,,,,,,,,,,
1/16/16,"28,287","27,794",304,189,0,0,0,0,0,"-2,602","-2,491",-8.4%,-8.2%,"4,671",,,,,,,,,,,,,,,,,,
1/23/16,"27,594","27,089",330,175,0,0,0,0,0,"-2,485","-2,456",-8.3%,-8.3%,"4,214",,,,,,,,,,,,,,,,,,
1/30/16,"28,362","27,908",286,168,0,0,0,0,0,"-2,547","-2,422",-8.2%,-8.0%,"4,348",,,,,,,,,,,,,,,,,,
2/6/16,"27,723","27,270",292,161,0,0,0,0,0,"-2,358","-2,290",-7.8%,-7.7%,"4,268",,,,,,,,,,,,,,,,,,
2/13/16,"27,812","27,383",280,149,0,0,0,0,0,"-1,978","-1,888",-6.6%,-6.5%,"3,579",,,,,,,,,,,,,,,,,,
2/20/16,"27,189","26,726",298,165,0,0,0,0,0,"-2,025","-2,001",-6.9%,-7.0%,"3,332",,,,,,,,,,,,,,,,,,
2/27/16,"27,488","27,050",277,161,0,0,0,0,0,"-1,810","-1,710",-6.2%,-5.9%,"3,641",,,,,,,,,,,,,,,,,,
3/5/16,"26,898","26,439",290,169,0,0,0,0,0,"-1,929","-1,911",-6.7%,-6.7%,"3,914",,,,,,,,,,,,,,,,,,
3/12/16,"26,883","26,504",227,152,0,0,0,0,0,"-2,344","-2,215",-8.0%,-7.7%,"3,767",,,,,,,,,,,,,,,,,,
3/19/16,"26,628","26,230",248,150,0,0,0,0,0,"-2,550","-2,497",-8.7%,-8.7%,"3,658",,,,,,,,,,,,,,,,,,
3/26/16,"26,512","26,138",211,163,0,0,0,0,0,"-2,800","-2,664",-9.6%,-9.2%,"3,978",,,,,,,,,,,,,,,,,,
4/2/16,"26,651","26,281",225,145,0,0,0,0,0,"-2,468","-2,404",-8.5%,-8.4%,"4,507",,,,,,,,,,,,,,,,,,
4/9/16,"26,989","26,670",185,134,0,0,0,0,0,"-2,768","-2,657",-9.3%,-9.1%,"7,003",,,,,,,,,,,,,,,,,,
4/16/16,"29,256","28,940",181,135,0,0,0,0,0,"-2,949","-2,866",-9.2%,-9.0%,"5,828",,,,,,,,,,,,,,,,,,
4/23/16,"30,989","30,693",158,138,0,0,0,0,0,"-2,756","-2,674",-8.2%,-8.0%,"6,083",,,,,,,,,,,,,,,,,,
4/30/16,"32,529","32,257",147,125,0,0,0,0,0,"-1,737","-1,653",-5.1%,-4.9%,"4,751",,,,,,,,,,,,,,,,,,
5/7/16,"33,214","32,936",136,142,0,0,0,0,0,"-1,031",-956,-3.0%,-2.8%,"4,572",,,,,,,,,,,,,,,,,,
5/14/16,"32,964","32,694",132,138,0,0,0,0,0,"-1,274","-1,233",-3.7%,-3.6%,"4,401",,,,,,,,,,,,,,,,,,
5/21/16,"33,485","33,215",122,148,0,0,0,0,0,-919,-849,-2.7%,-2.5%,"4,400",,,,,,,,,,,,,,,,,,
5/28/16,"33,037","32,788",116,133,0,0,0,0,0,"-1,243","-1,145",-3.6%,-3.4%,"5,042",,,,,,,,,,,,,,,,,,
6/4/16,"33,687","33,380",173,134,0,0,0,0,0,"-1,854","-1,725",-5.2%,-4.9%,"4,862",,,,,,,,,,,,,,,,,,
6/11/16,"34,378","34,011",237,130,0,0,0,0,0,"-2,008","-1,897",-5.5%,-5.3%,"4,758",,,,,,,,,,,,,,,,,,
6/18/16,"35,235","34,864",221,150,0,0,0,0,0,"-1,656","-1,518",-4.5%,-4.2%,"4,459",,,,,,,,,,,,,,,,,,
6/25/16,"34,912","34,531",240,141,0,0,0,0,0,"-1,889","-1,765",-5.1%,-4.9%,"4,663",,,,,,,,,,,,,,,,,,
7/2/16,"35,685","35,311",234,140,0,0,0,0,0,80,187,0.2%,0.5%,"5,398",,,,,,,,,,,,,,,,,,
7/9/16,"35,300","34,936",231,133,0,0,0,0,0,"-3,244","-3,047",-8.4%,-8.0%,"6,453",,,,,,,,,,,,,,,,,,
7/16/16,"38,318","37,909",269,140,0,0,0,0,0,"-1,353","-1,196",-3.4%,-3.1%,"5,408",,,,,,,,,,,,,,,,,,
7/23/16,"38,642","38,219",268,155,0,0,0,0,0,"-1,928","-1,767",-4.8%,-4.4%,"4,820",,,,,,,,,,,,,,,,,,
7/30/16,"39,093","38,677",261,155,0,0,0,0,0,"-1,250","-1,094",-3.1%,-2.8%,"4,404",,,,,,,,,,,,,,,,,,
8/6/16,"38,252","37,920",171,161,0,0,0,0,0,"-1,743","-1,592",-4.4%,-4.0%,"4,428",,,,,,,,,,,,,,,,,,
8/13/16,"37,784","37,502",119,163,0,0,0,0,0,"-1,511","-1,377",-3.8%,-3.5%,"4,194",,,,,,,,,,,,,,,,,,
8/20/16,"37,079","36,800",106,173,0,0,0,0,0,"-1,321","-1,197",-3.4%,-3.2%,"4,091",,,,,,,,,,,,,,,,,,
8/27/16,"36,103","35,837",93,173,0,0,0,0,0,"-1,571","-1,460",-4.2%,-3.9%,"3,970",,,,,,,,,,,,,,,,,,
9/3/16,"34,834","34,579",93,162,0,0,0,0,0,"-1,101","-1,008",-3.1%,-2.8%,"4,010",,,,,,,,,,,,,,,,,,
9/10/16,"33,207","32,936",107,164,0,0,0,0,0,"-1,540","-1,468",-4.4%,-4.3%,"3,588",,,,,,,,,,,,,,,,,,
9/17/16,"32,709","32,456",88,165,0,0,0,0,0,"-1,909","-1,827",-5.5%,-5.3%,"4,056",,,,,,,,,,,,,,,,,,
9/24/16,"31,587","31,343",99,145,0,0,0,0,0,"-1,660","-1,602",-5.0%,-4.9%,"3,945",,,,,,,,,,,,,,,,,,
10/1/16,"30,908","30,668",95,145,0,0,0,0,0,"-1,950","-1,861",-5.9%,-5.7%,"3,987",,,,,,,,,,,,,,,,,,
10/8/16,"29,789","29,555",94,140,0,0,0,0,0,"-1,639","-1,550",-5.2%,-5.0%,"4,659",,,,,,,,,,,,,,,,,,
10/15/16,"29,388","29,134",106,148,0,0,0,0,0,"-1,543","-1,472",-5.0%,-4.8%,"4,022",,,,,,,,,,,,,,,,,,
10/22/16,"29,437","29,155",132,150,0,0,0,0,0,"-1,437","-1,371",-4.7%,-4.5%,"4,063",,,,,,,,,,,,,,,,,,
10/29/16,"28,927","28,652",130,145,0,0,0,0,0,-871,-792,-2.9%,-2.7%,"3,942",,,,,,,,,,,,,,,,,,
11/5/16,"28,295","27,985",165,145,0,0,0,0,0,"-1,215","-1,159",-4.1%,-4.0%,"4,184",,,,,,,,,,,,,,,,,,
11/12/16,"26,039","25,764",147,128,0,0,0,0,0,"-2,434","-2,305",-8.5%,-8.2%,"3,374",,,,,,,,,,,,,,,,,,
11/19/16,"28,372","28,057",167,148,0,0,0,0,0,-136,-45,-0.5%,-0.2%,"4,291",,,,,,,,,,,,,,,,,,
11/26/16,"25,174","24,860",177,137,0,0,0,0,0,"-1,456","-1,358",-5.5%,-5.2%,"2,657",,,,,,,,,,,,,,,,,,
12/3/16,"26,611","26,283",197,131,0,0,0,0,0,"-1,617","-1,509",-5.7%,-5.4%,"4,258",,,,,,,,,,,,,,,,,,
12/10/16,"25,261","24,944",187,130,0,0,0,0,0,"-1,680","-1,547",-6.2%,-5.8%,"4,050",,,,,,,,,,,,,,,,,,
12/17/16,"25,926","25,608",190,128,0,0,0,0,0,"-1,320","-1,189",-4.8%,-4.4%,"3,730",,,,,,,,,,,,,,,,,,
12/24/16,"25,248","24,875",245,128,0,0,0,0,0,-535,-446,-2.1%,-1.8%,"3,311",,,,,,,,,,,,,,,,,,
12/31/16,"25,782","25,430",243,109,0,0,0,0,0,"-1,676","-1,548",-6.1%,-5.7%,"3,154",,,,,,,,,,,,,,,,,,
1/7/17,"25,639","25,244",276,119,0,0,0,0,0,"-2,446","-2,328",-8.7%,-8.4%,"4,551",,,,,,,,,,,,,,,,,,
1/14/17,"26,405","26,033",261,111,0,0,0,0,0,"-1,882","-1,761",-6.7%,-6.3%,"4,677",,,,,,,,,,,,,,,,,,
1/21/17,"26,307","25,912",280,115,0,0,0,0,0,"-1,287","-1,177",-4.7%,-4.3%,"3,944",,,,,,,,,,,,,,,,,,
1/28/17,"26,369","25,994",262,113,0,0,0,0,0,"-1,993","-1,914",-7.0%,-6.9%,"4,205",,,,,,,,,,,,,,,,,,
2/4/17,"25,870","25,502",274,94,0,0,0,0,0,"-1,853","-1,768",-6.7%,-6.5%,"4,300",,,,,,,,,,,,,,,,,,
2/11/17,"26,132","25,778",256,98,0,0,0,0,0,"-1,680","-1,605",-6.0%,-5.9%,"4,003",,,,,,,,,,,,,,,,,,
2/18/17,"26,326","25,961",271,94,0,0,0,0,0,-863,-765,-3.2%,-2.9%,"3,718",,,,,,,,,,,,,,,,,,
2/25/17,"25,594","25,299",215,80,0,0,0,0,0,"-1,894","-1,751",-6.9%,-6.5%,"3,397",,,,,,,,,,,,,,,,,,
3/4/17,"25,478","25,149",242,87,0,0,0,0,0,"-1,420","-1,290",-5.3%,-4.9%,"3,808",,,,,,,,,,,,,,,,,,
3/11/17,"25,298","25,006",215,77,0,0,0,0,0,"-1,585","-1,498",-5.9%,-5.7%,"3,746",,,,,,,,,,,,,,,,,,
3/18/17,"24,686","24,402",215,69,0,0,0,0,0,"-1,942","-1,828",-7.3%,-7.0%,"3,906",,,,,,,,,,,,,,,,,,
3/25/17,"24,572","24,300",202,70,0,0,0,0,0,"-1,940","-1,838",-7.3%,-7.0%,"3,986",,,,,,,,,,,,,,,,,,
4/1/17,"24,610","24,321",205,84,0,0,0,0,0,"-2,041","-1,960",-7.7%,-7.5%,"4,393",,,,,,,,,,,,,,,,,,
4/8/17,"24,763","24,510",173,80,0,0,0,0,0,"-2,226","-2,160",-8.2%,-8.1%,"6,757",,,,,,,,,,,,,,,,,,
4/15/17,"26,215","25,968",159,88,0,0,0,0,0,"-3,041","-2,972",-10.4%,-10.3%,"5,285",,,,,,,,,,,,,,,,,,
4/22/17,"28,109","27,879",137,93,0,0,0,0,0,"-2,880","-2,814",-9.3%,-9.2%,"6,013",,,,,,,,,,,,,,,,,,
4/29/17,"29,338","29,098",143,97,0,0,0,0,0,"-3,191","-3,159",-9.8%,-9.8%,"4,767",,,,,,,,,,,,,,,,,,
5/6/17,"30,320","30,094",130,96,0,0,0,0,0,"-2,894","-2,842",-8.7%,-8.6%,"4,519",,,,,,,,,,,,,,,,,,
5/13/17,"29,637","29,416",121,100,0,0,0,0,0,"-3,327","-3,278",-10.1%,-10.0%,"4,167",,,,,,,,,,,,,,,,,,
5/20/17,"30,537","30,320",116,101,0,0,0,0,0,"-2,948","-2,895",-8.8%,-8.7%,"4,153",,,,,,,,,,,,,,,,,,
5/27/17,"29,675","29,457",121,97,0,0,0,0,0,"-3,362","-3,331",-10.2%,-10.2%,"4,379",,,,,,,,,,,,,,,,,,
6/3/17,"29,599","29,366",149,84,0,0,0,0,0,"-4,088","-4,014",-12.1%,-12.0%,"4,754",,,,,,,,,,,,,,,,,,
