Week Ending,Claims for Chart (from parameter),Continued Weeks Claimed,Continued Weeks Claimed (52-week MA),Initial Claims,Initial Claims (52-week MA),MA Claims for Chart (from parameter),Number of Records
1/2/2016,"9,785","33,125","22,678","9,785","3,076","3,076",1
1/9/2016,"7,048","41,384","22,689","7,048","3,039","3,039",1
1/16/2016,"3,818","35,687","22,614","3,818","3,041","3,041",1
1/23/2016,"3,348","36,091","22,627","3,348","3,053","3,053",1
1/30/2016,"3,121","36,710","22,662","3,121","3,066","3,066",1
2/6/2016,"2,876","36,109","22,689","2,876","3,067","3,067",1
2/13/2016,"2,838","36,507","22,712","2,838","3,073","3,073",1
2/20/2016,"2,219","35,933","22,738","2,219","3,070","3,070",1
2/27/2016,"2,159","34,674","22,733","2,159","3,062","3,062",1
3/5/2016,"2,257","33,471","22,711","2,257","3,059","3,059",1
3/12/2016,"2,276","31,977","22,688","2,276","3,063","3,063",1
3/19/2016,"2,503","29,740","22,672","2,503","3,069","3,069",1
3/26/2016,"2,534","28,203","22,674","2,534","3,079","3,079",1
4/2/2016,"2,118","26,108","22,689","2,118","3,079","3,079",1
4/9/2016,"2,251","23,725","22,719","2,251","3,073","3,073",1
4/16/2016,"2,001","21,258","22,725","2,001","3,073","3,073",1
4/23/2016,"2,489","19,226","22,736","2,489","3,081","3,081",1
4/30/2016,"2,495","19,170","22,765","2,495","3,087","3,087",1
5/7/2016,"2,132","18,699","22,792","2,132","3,079","3,079",1
5/14/2016,"2,561","17,458","22,797","2,561","3,084","3,084",1
5/21/2016,"3,092","17,903","22,817","3,092","3,099","3,099",1
5/28/2016,"2,505","18,001","22,840","2,505","3,099","3,099",1
6/4/2016,"2,393","17,271","22,838","2,393","3,089","3,089",1
6/11/2016,"2,540","17,394","22,833","2,540","3,089","3,089",1
6/18/2016,"2,367","18,065","22,830","2,367","3,094","3,094",1
6/25/2016,"2,169","18,118","22,828","2,169","3,094","3,094",1
7/2/2016,"2,394","17,798","22,829","2,394","3,069","3,069",1
7/9/2016,"2,933","17,900","22,790","2,933","3,055","3,055",1
7/16/2016,"2,886","19,037","22,781","2,886","3,068","3,068",1
7/23/2016,"2,611","18,867","22,787","2,611","3,079","3,079",1
7/30/2016,"2,515","19,128","22,805","2,515","3,078","3,078",1
8/6/2016,"2,235","18,966","22,810","2,235","3,069","3,069",1
8/13/2016,"1,715","18,861","22,805","1,715","3,062","3,062",1
8/20/2016,"1,649","17,598","22,794","1,649","3,048","3,048",1
8/27/2016,"1,951","16,960","22,776","1,951","3,045","3,045",1
9/3/2016,"2,159","15,880","22,763","2,159","3,039","3,039",1
9/10/2016,"1,622","15,395","22,749","1,622","3,029","3,029",1
9/17/2016,"1,860","15,201","22,730","1,860","3,016","3,016",1
9/24/2016,"2,016","14,882","22,697","2,016","3,011","3,011",1
10/1/2016,"2,006","14,580","22,668","2,006","3,008","3,008",1
10/8/2016,"2,363","14,415","22,634","2,363","3,010","3,010",1
10/15/2016,"2,184","14,609","22,611","2,184","3,012","3,012",1
10/22/2016,"2,328","14,632","22,585","2,328","3,013","3,013",1
10/29/2016,"2,464","15,223","22,569","2,464","3,004","3,004",1
11/5/2016,"2,605","15,395","22,539","2,605","2,996","2,996",1
11/12/2016,"2,193","15,123","22,501","2,193","2,984","2,984",1
11/19/2016,"3,593","16,094","22,480","3,593","2,959","2,959",1
11/26/2016,"3,960","16,057","22,417","3,960","2,941","2,941",1
12/3/2016,"5,342","20,334","22,347","5,342","2,917","2,917",1
12/10/2016,"5,609","20,833","22,273","5,609","2,953","2,953",1
12/17/2016,"6,477","23,827","22,248","6,477","2,984","2,984",1
12/24/2016,"6,595","28,169","22,265","6,595","2,965","2,965",1
12/31/2016,"7,686","31,771","22,239","7,686","2,924","2,924",1
1/7/2017,"5,307","37,272","22,160","5,307","2,891","2,891",1
1/14/2017,"3,632","35,330","22,153","3,632","2,887","2,887",1
1/21/2017,"2,815","35,288","22,137","2,815","2,877","2,877",1
1/28/2017,"2,694","35,427","22,113","2,694","2,869","2,869",1
2/4/2017,"2,697","34,862","22,089","2,697","2,865","2,865",1
2/11/2017,"2,376","34,599","22,052","2,376","2,856","2,856",1
2/18/2017,"2,126","34,587","22,026","2,126","2,855","2,855",1
2/25/2017,"2,075","33,040","21,995","2,075","2,853","2,853",1
3/4/2017,"1,996","32,262","21,972","1,996","2,848","2,848",1
3/11/2017,"2,084","31,225","21,957","2,084","2,844","2,844",1
3/18/2017,"2,350","29,128","21,945","2,350","2,841","2,841",1
3/25/2017,"1,966","29,262","21,966","1,966","2,830","2,830",1
4/1/2017,"1,982","25,824","21,960","1,982","2,828","2,828",1
4/8/2017,"2,114","24,367","21,973","2,114","2,825","2,825",1
4/15/2017,"2,029","21,881","21,985","2,029","2,826","2,826",1
4/22/2017,"1,999","19,416","21,988","1,999","2,816","2,816",1
4/29/2017,"2,313","17,808","21,962","2,313","2,813","2,813",1
5/6/2017,"2,067","17,718","21,943","2,067","2,812","2,812",1
5/13/2017,"1,923","16,555","21,926","1,923","2,799","2,799",1
5/20/2017,"2,045","15,852","21,886","2,045","2,779","2,779",1
5/27/2017,"2,129","15,815","21,844","2,129","2,772","2,772",1
6/3/2017,"2,482","15,809","21,816","2,482","2,774","2,774",1
6/10/2017,"2,365","16,184","21,793","2,365","2,770","2,770",1
6/17/2017,"1,912","16,446","21,762","1,912","2,762","2,762",1
6/24/2017,"1,930","16,613","21,733","1,930","2,757","2,757",1
7/1/2017,"2,256","16,694","21,712","2,256","2,754","2,754",1
7/8/2017,"3,224","16,603","21,687","3,224","2,760","2,760",1
7/15/2017,"2,031","18,342","21,673","2,031","2,743","2,743",1
7/22/2017,"1,639","16,630","21,630","1,639","2,725","2,725",1
7/29/2017,"2,212","16,094","21,572","2,212","2,719","2,719",1
8/5/2017,"2,351","16,513","21,525","2,351","2,721","2,721",1
8/12/2017,"1,804","17,045","21,490","1,804","2,723","2,723",1
8/19/2017,"1,590","16,041","21,460","1,590","2,722","2,722",1
8/26/2017,"1,600","15,315","21,428","1,600","2,715","2,715",1
9/2/2017,"1,713","14,491","21,402","1,713","2,706","2,706",1
9/9/2017,"2,244","13,919","21,373","2,244","2,718","2,718",1
9/16/2017,"1,579","14,410","21,358","1,579","2,713","2,713",1
9/23/2017,"1,604","13,479","21,331","1,604","2,705","2,705",1
9/30/2017,"1,539","13,272","21,306","1,539","2,696","2,696",1
10/7/2017,"2,188","13,004","21,279","2,188","2,693","2,693",1
10/14/2017,"1,930","12,701","21,242","1,930","2,688","2,688",1
10/21/2017,"2,124","12,595","21,203","2,124","2,684","2,684",1
10/28/2017,"2,389","12,666","21,154","2,389","2,682","2,682",1
11/4/2017,"2,314","12,928","21,106","2,314","2,677","2,677",1
11/11/2017,"2,372","12,570","21,057","2,372","2,680","2,680",1
11/18/2017,"3,603","13,561","21,008","3,603","2,680","2,680",1
11/25/2017,"3,328","14,126","20,971","3,328","2,668","2,668",1
12/2/2017,"4,507","16,800","20,903","4,507","2,652","2,652",1
12/9/2017,"4,995","17,619","20,841","4,995","2,640","2,640",1
12/16/2017,"4,974","19,975","20,767","4,974","2,612","2,612",1
12/23/2017,"6,945","22,346","20,655","6,945","2,618","2,618",1
12/30/2017,"8,120","26,131","20,547","8,120","2,627","2,627",1
1/6/2018,"5,964","32,490","20,455","5,964","2,639","2,639",1
1/13/2018,"4,348","32,764","20,406","4,348","2,653","2,653",1
1/20/2018,"3,017","31,002","20,323","3,017","2,657","2,657",1
1/27/2018,"2,610","32,097","20,259","2,610","2,655","2,655",1
2/3/2018,"2,473","31,518","20,195","2,473","2,651","2,651",1
2/10/2018,"2,467","31,459","20,134","2,467","2,653","2,653",1
2/17/2018,"2,126","31,740","20,080","2,126","2,653","2,653",1
2/24/2018,"2,023","30,860","20,038","2,023","2,652","2,652",1
3/3/2018,"1,812","30,835","20,010","1,812","2,648","2,648",1
3/10/2018,"1,977","29,464","19,976","1,977","2,646","2,646",1
3/17/2018,"2,173","28,799","19,970","2,173","2,643","2,643",1
3/24/2018,"1,800","26,709","19,921","1,800","2,640","2,640",1
3/31/2018,"2,145","24,308","19,892","2,145","2,643","2,643",1
4/7/2018,"2,274","23,322","19,872","2,274","2,646","2,646",1
4/14/2018,"1,697","21,813","19,871","1,697","2,639","2,639",1
4/21/2018,"1,746","19,362","19,869","1,746","2,634","2,634",1
4/28/2018,"1,559","18,256","19,878","1,559","2,620","2,620",1
5/5/2018,"1,620","15,181","19,829","1,620","2,611","2,611",1
5/12/2018,"1,788","13,992","19,780","1,788","2,609","2,609",1
5/19/2018,"2,047","13,317","19,731","2,047","2,609","2,609",1
5/26/2018,"2,424","13,308","19,683","2,424","2,615","2,615",1
6/2/2018,"1,775","13,404","19,637","1,775","2,601","2,601",1
6/9/2018,"2,585","13,164","19,579","2,585","2,605","2,605",1
6/16/2018,"1,778","13,932","19,530","1,778","2,603","2,603",1
6/23/2018,"1,990","13,869","19,478","1,990","2,604","2,604",1
6/30/2018,"1,995","14,396","19,433","1,995","2,599","2,599",1
7/7/2018,"4,305","14,232","19,388","4,305","2,619","2,619",1
7/14/2018,"2,043","17,101","19,364","2,043","2,620","2,620",1
7/21/2018,"1,502","14,096","19,315","1,502","2,617","2,617",1
7/28/2018,"2,378","13,757","19,270","2,378","2,620","2,620",1
8/4/2018,"2,691","13,993","19,222","2,691","2,627","2,627",1
8/11/2018,"1,786","14,747","19,178","1,786","2,626","2,626",1
8/18/2018,"1,522","14,236","19,143","1,522","2,625","2,625",1
8/25/2018,"1,465","13,634","19,111","1,465","2,623","2,623",1
9/1/2018,"1,699","12,652","19,075","1,699","2,622","2,622",1
9/8/2018,"2,347","11,822","19,035","2,347","2,624","2,624",1
9/15/2018,"1,648","12,374","18,996","1,648","2,626","2,626",1
9/22/2018,"1,428","11,496","18,958","1,428","2,622","2,622",1
9/29/2018,"1,576","11,534","18,924","1,576","2,623","2,623",1
10/6/2018,"1,920","11,351","18,892","1,920","2,618","2,618",1
10/13/2018,"2,090","11,546","18,870","2,090","2,621","2,621",1
10/20/2018,"2,213","11,657","18,852","2,213","2,623","2,623",1
10/27/2018,"1,898","11,545","18,831","1,898","2,613","2,613",1
11/3/2018,"2,197","11,226","18,798","2,197","2,611","2,611",1
11/10/2018,"3,069","11,711","18,781","3,069","2,624","2,624",1
11/17/2018,"3,155","12,640","18,764","3,155","2,616","2,616",1
11/24/2018,"3,002","12,602","18,734","3,002","2,609","2,609",1
12/1/2018,"6,247","15,139","18,702","6,247","2,643","2,643",1
12/8/2018,"5,069","18,270","18,715","5,069","2,644","2,644",1
12/15/2018,"4,139","20,501","18,725","4,139","2,628","2,628",1
12/22/2018,"5,344","22,176","18,722","5,344","2,597","2,597",1
12/29/2018,"7,875","24,349","18,687","7,875","2,593","2,593",1
1/5/2019,"4,300","31,173","18,662","4,300","2,561","2,561",1
1/12/2019,"4,395","30,334","18,615","4,395","2,562","2,562",1
1/19/2019,"3,127","29,093","18,579","3,127","2,564","2,564",1
1/26/2019,"3,728","29,509","18,529","3,728","2,585","2,585",1
2/2/2019,"4,142","31,177","18,522","4,142","2,617","2,617",1
2/9/2019,"2,679","33,539","18,562","2,679","2,621","2,621",1
2/16/2019,"1,983","31,633","18,560","1,983","2,619","2,619",1
2/23/2019,"2,179","31,257","18,568","2,179","2,622","2,622",1
3/2/2019,"2,309","30,786","18,567","2,309","2,631","2,631",1
4/6/2019,"1,780","23,639","18,733","1,780","2,634","2,634",1
3/9/2019,"2,232","30,964","18,596","2,232","2,636","2,636",1
4/13/2019,"1,836","20,317","18,704","1,836","2,637","2,637",1
4/20/2019,"1,823","18,430","18,686","1,823","2,638","2,638",1
3/16/2019,"2,348","30,334","18,625","2,348","2,639","2,639",1
3/30/2019,"1,882","26,969","18,727","1,882","2,644","2,644",1
4/27/2019,"1,997","15,793","18,639","1,997","2,647","2,647",1
3/23/2019,"2,272","29,330","18,676","2,272","2,649","2,649",1
7/6/2019,"3,307","14,360","18,687","3,307","2,661","2,661",1
5/25/2019,"2,128","13,501","18,673","2,128","2,667","2,667",1
5/4/2019,"2,673","14,645","18,629","2,673","2,667","2,667",1
8/3/2019,"2,271","14,969","18,719","2,271","2,671","2,671",1
7/13/2019,"2,635","16,194","18,670","2,635","2,672","2,672",1
5/18/2019,"1,959","14,100","18,669","1,959","2,673","2,673",1
5/11/2019,"2,204","15,317","18,654","2,204","2,675","2,675",1
6/8/2019,"2,569","13,691","18,687","2,569","2,675","2,675",1
6/1/2019,"2,195","13,632","18,677","2,195","2,676","2,676",1
6/22/2019,"1,781","14,233","18,691","1,781","2,678","2,678",1
7/20/2019,"1,835","14,970","18,686","1,835","2,679","2,679",1
7/27/2019,"2,380","14,469","18,700","2,380","2,679","2,679",1
6/29/2019,"2,123","14,086","18,685","2,123","2,680","2,680",1
6/15/2019,"2,120","13,729","18,684","2,120","2,682","2,682",1
8/10/2019,"2,349","15,309","18,730","2,349","2,682","2,682",1
8/17/2019,"1,805","15,306","18,750","1,805","2,687","2,687",1
9/7/2019,"1,787","12,711","18,814","1,787","2,690","2,690",1
9/14/2019,"1,692","12,305","18,812","1,692","2,691","2,691",1
9/21/2019,"1,738","12,103","18,824","1,738","2,697","2,697",1
8/24/2019,"2,099","14,682","18,770","2,099","2,699","2,699",1
8/31/2019,"1,769","14,008","18,796","1,769","2,701","2,701",1
9/28/2019,"2,245","12,051","18,834","2,245","2,710","2,710",1
10/5/2019,"2,228","12,539","18,857","2,228","2,715","2,715",1
10/12/2019,"2,117","12,665","18,878","2,117","2,716","2,716",1
10/19/2019,"2,296","12,359","18,892","2,296","2,718","2,718",1
10/26/2019,"2,945","12,635","18,913","2,945","2,738","2,738",1
11/9/2019,"2,927","14,055","19,002","2,927","2,748","2,748",1
11/2/2019,"2,851","13,551","18,957","2,851","2,750","2,750",1
11/30/2019,"4,988","15,536","19,080","4,988","2,766","2,766",1
11/16/2019,"4,579","13,285","19,015","4,579","2,775","2,775",1
12/7/2019,"5,531","20,394","19,121","5,531","2,775","2,775",1
11/23/2019,"3,794","15,608","19,073","3,794","2,790","2,790",1
12/14/2019,"4,934","20,080","19,113","4,934","2,790","2,790",1
12/21/2019,"7,357","22,119","19,112","7,357","2,829","2,829",1
2/8/2020,"2,379","30,789","19,257","2,379","2,861","2,861",1
2/15/2020,"2,239","30,799","19,241","2,239","2,866","2,866",1
2/1/2020,"3,066","30,890","19,310","3,066","2,867","2,867",1
3/14/2020,"2,229","27,816","19,148","2,229","2,871","2,871",1
3/7/2020,"2,221","29,424","19,196","2,221","2,873","2,873",1
2/29/2020,"2,240","30,516","19,226","2,240","2,874","2,874",1
2/22/2020,"2,631","30,741","19,231","2,631","2,875","2,875",1
12/28/2019,"10,338","25,963","19,143","10,338","2,876","2,876",1
1/4/2020,"4,586","34,549","19,208","4,586","2,882","2,882",1
1/25/2020,"3,115","30,369","19,316","3,115","2,888","2,888",1
1/11/2020,"4,836","34,540","19,289","4,836","2,890","2,890",1
1/18/2020,"3,615","29,625","19,299","3,615","2,900","2,900",1
3/21/2020,"40,952","26,496","19,094","40,952","3,615","3,615",1
3/28/2020,"55,966","53,650","19,607","55,966","4,655","4,655",1
4/4/2020,"64,194","91,631","20,914","64,194","5,855","5,855",1
4/11/2020,"43,889","127,332","22,972","43,889","6,664","6,664",1
4/18/2020,"26,901","150,445","25,511","26,901","7,146","7,146",1
4/25/2020,"27,220","168,971","28,457","27,220","7,631","7,631",1
5/2/2020,"24,693","181,358","31,663","24,693","8,055","8,055",1
