"STATE OF CONNECTICUT AVERAGE WEEKLY INITIAL CLAIMS (Seasonally Adjusted)"
"","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Apr","6,167","4,805","3,354","3,830","3,411","2,617","2,482","3,710","4,941","6,038","5,728","5,453","4,956","4,533","4,043","4,101","3,305","3,505","3,198","4,500","5,695","5,269","4,430","4,412","4,439","4,453","4,801","7,066","5,666","5,540","5,134","5,182","4,673","4,248","4,170","3,774","3,760","4,628"
"May","5,855","4,173","2,986","3,563","3,000","2,423","2,271","2,847","4,128","4,696","4,499","4,115","3,987","3,793","3,347","2,882","2,813","2,858","2,470","4,017","4,899","3,774","3,107","2,923","3,132","2,927","3,446","5,222","4,107","4,097","3,749","3,536","3,197","2,907","3,098","3,095","2,493","2,339"
"Jun","7,399","5,212","3,716","4,468","3,853","2,971","3,063","4,299","5,116","6,236","6,035","5,049","4,667","5,237","4,085","3,994","3,995","3,941","3,788","4,976","5,880","4,982","4,247","4,018","4,180","4,141","4,799","6,743","5,421","5,119","5,452","4,710","4,640","4,498","5,087","4,453","3,743","4,408"
"Jul","10,734","7,414","5,945","6,679","5,084","4,442","5,267","5,833","6,398","7,772","6,808","5,530","5,515","5,581","4,843","4,042","4,143","3,830","3,379","5,388","5,212","5,034","3,968","4,115","4,094","4,059","4,672","6,600","5,296","5,019","4,749","5,132","4,138","3,728","3,665","3,774","3,389","2,922"
"Aug","6,719","4,572","3,279","4,115","3,490","2,736","3,039","4,013","4,446","6,785","5,077","4,136","3,913","3,823","3,399","3,059","3,424","3,128","3,074","4,306","4,072","3,904","3,220","3,379","3,162","3,106","4,827","5,458","5,182","4,131","4,012","3,770","3,394","3,309","3,303","2,987","2,567","2,608"
"Sep","6,399","3,480","2,445","2,666","2,362","1,803","1,928","2,952","4,136","4,429","4,130","3,506","3,236","3,226","2,814","2,430","3,407","2,653","2,246","4,007","3,701","3,347","2,865","2,751","2,737","2,665","3,924","4,455","3,861","4,403","3,445","3,209","2,919","2,608","2,758","2,735","2,159","2,263"
"Oct","6,569","3,642","2,810","3,547","2,599","1,940","2,681","3,546","4,681","4,783","4,442","4,149","3,636","3,818","3,272","2,728","2,724","2,608","2,577","4,626","4,304","3,565","3,148","3,344","3,039","3,212","4,511","4,609","4,371","4,082","3,885","3,770","3,215","2,916","3,087","2,752","2,406","2,392"
"Nov","7,559","3,780","3,946","3,460","3,094","2,343","2,667","3,890","5,088","6,522","4,933","5,073","3,859","4,207","3,290","3,110","3,379","2,936","3,077","4,958","4,332","3,799","3,583","3,503","3,516","3,842","5,430","4,997","4,296","7,384","6,371","4,123","3,939","3,205","3,345","3,291","3,181","3,002"
"Dec","11,458","8,564","8,398","6,693","6,176","5,325","6,277","6,915","7,742","9,729","6,373","6,137","6,820","6,078","6,529","6,240","5,283","4,698","4,476","6,477","7,444","6,799","5,889","6,536","6,208","6,432","8,121","7,321","6,548","6,605","6,700","7,020","6,334","5,364","5,528","4,841","6,211","6,774"
"Connecticut Department of Labor - Office of Research"
