FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,FIPS,COUNTY,INITIAL CLAIMS,,,,,,,
,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,INTRASTATE,,,,,,,
,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,NEW,ADD'L,IB-1's,,,,,
15,CURRY,72,59,11,15,CURRY,40,42,8,15,CURRY,29,31,10,15,CURRY,35,42,9,15,CURRY,37,56,6,15,CURRY,42,50,4,15,CURRY,48,48,8,15,CURRY,105,44,14,15,CURRY,78,60,4,15,CURRY,108,82,9,15,CURRY,82,55,11,15,CURRY,36,23,5,15,CURRY,33,20,4,15,CURRY,41,30,3,15,CURRY,44,32,5,15,CURRY,39,30,8,15,CURRY,43,40,9,15,CURRY,37,48,8,15,CURRY,37,40,3,15,CURRY,112,62,16,,,,,
17,DESCHUTES,572,339,44,17,DESCHUTES,475,221,24,17,DESCHUTES,308,222,17,17,DESCHUTES,440,225,27,17,DESCHUTES,482,293,19,17,DESCHUTES,795,471,16,17,DESCHUTES,732,424,26,17,DESCHUTES,"1,088",353,52,17,DESCHUTES,850,491,33,17,DESCHUTES,661,445,27,17,DESCHUTES,616,292,35,17,DESCHUTES,394,192,17,17,DESCHUTES,462,192,30,17,DESCHUTES,426,208,25,17,DESCHUTES,373,195,17,17,DESCHUTES,371,202,17,17,DESCHUTES,378,234,16,17,DESCHUTES,509,264,27,17,DESCHUTES,600,349,31,17,DESCHUTES,918,398,47,,,,,
19,DOUGLAS,286,193,20,19,DOUGLAS,378,422,19,19,DOUGLAS,260,209,13,19,DOUGLAS,225,188,17,19,DOUGLAS,245,318,19,19,DOUGLAS,600,510,17,19,DOUGLAS,330,404,15,19,DOUGLAS,617,306,26,19,DOUGLAS,728,765,18,19,DOUGLAS,678,405,19,19,DOUGLAS,298,194,18,19,DOUGLAS,228,156,15,19,DOUGLAS,284,194,12,19,DOUGLAS,276,258,13,19,DOUGLAS,251,211,8,19,DOUGLAS,215,177,12,19,DOUGLAS,263,259,13,19,DOUGLAS,278,267,7,19,DOUGLAS,312,224,17,19,DOUGLAS,488,406,18,,,,,
21,GILLIAM,7,5,0,21,GILLIAM,6,1,0,21,GILLIAM,2,3,0,21,GILLIAM,2,1,0,21,GILLIAM,5,1,0,21,GILLIAM,0,1,0,21,GILLIAM,3,1,2,21,GILLIAM,5,5,3,21,GILLIAM,7,3,0,21,GILLIAM,1,1,0,21,GILLIAM,5,5,0,21,GILLIAM,2,6,0,21,GILLIAM,9,5,0,21,GILLIAM,5,6,0,21,GILLIAM,6,0,0,21,GILLIAM,3,2,0,21,GILLIAM,2,1,0,21,GILLIAM,1,3,0,21,GILLIAM,5,2,0,21,GILLIAM,5,6,0,,,,,
23,GRANT,26,29,2,23,GRANT,13,8,1,23,GRANT,10,8,0,23,GRANT,12,20,0,23,GRANT,22,15,4,23,GRANT,37,24,0,23,GRANT,14,12,0,23,GRANT,116,18,3,23,GRANT,51,52,2,23,GRANT,31,56,2,23,GRANT,19,39,2,23,GRANT,16,24,2,23,GRANT,9,25,2,23,GRANT,14,11,3,23,GRANT,6,7,0,23,GRANT,11,9,0,23,GRANT,18,14,3,23,GRANT,30,19,1,23,GRANT,25,29,0,23,GRANT,61,21,2,,,,,
25,HARNEY,17,7,4,25,HARNEY,14,8,1,25,HARNEY,8,6,0,25,HARNEY,15,11,0,25,HARNEY,14,16,1,25,HARNEY,19,10,1,25,HARNEY,23,15,2,25,HARNEY,113,16,6,25,HARNEY,50,29,5,25,HARNEY,30,31,2,25,HARNEY,22,15,1,25,HARNEY,9,3,0,25,HARNEY,22,5,1,25,HARNEY,11,8,1,25,HARNEY,13,5,2,25,HARNEY,11,5,2,25,HARNEY,16,11,0,25,HARNEY,17,10,2,25,HARNEY,16,17,2,25,HARNEY,57,32,7,,,,,
27,HOOD RIVER,45,43,6,27,HOOD RIVER,77,81,3,27,HOOD RIVER,64,99,1,27,HOOD RIVER,50,108,5,27,HOOD RIVER,58,118,1,27,HOOD RIVER,129,96,3,27,HOOD RIVER,137,152,4,27,HOOD RIVER,103,72,8,27,HOOD RIVER,89,108,3,27,HOOD RIVER,67,64,6,27,HOOD RIVER,70,84,7,27,HOOD RIVER,40,21,3,27,HOOD RIVER,29,57,6,27,HOOD RIVER,42,73,3,27,HOOD RIVER,74,78,3,27,HOOD RIVER,58,59,3,27,HOOD RIVER,49,99,7,27,HOOD RIVER,47,80,3,27,HOOD RIVER,71,167,3,27,HOOD RIVER,91,133,4,,,,,
29,JACKSON,443,252,30,29,JACKSON,916,546,16,29,JACKSON,585,491,22,29,JACKSON,447,371,21,29,JACKSON,532,535,28,29,JACKSON,802,612,20,29,JACKSON,645,458,18,29,JACKSON,"1,176",467,44,29,JACKSON,839,879,40,29,JACKSON,792,522,36,29,JACKSON,567,265,31,29,JACKSON,444,243,22,29,JACKSON,455,259,27,29,JACKSON,607,340,22,29,JACKSON,553,459,21,29,JACKSON,420,248,24,29,JACKSON,515,326,29,29,JACKSON,566,392,40,29,JACKSON,659,371,21,29,JACKSON,"1,136",465,60,,,,,
31,JEFFERSON,54,33,4,31,JEFFERSON,49,25,0,31,JEFFERSON,46,17,1,31,JEFFERSON,34,31,2,31,JEFFERSON,57,37,2,31,JEFFERSON,81,44,3,31,JEFFERSON,64,36,0,31,JEFFERSON,116,25,6,31,JEFFERSON,101,51,2,31,JEFFERSON,95,46,3,31,JEFFERSON,84,36,4,31,JEFFERSON,59,25,4,31,JEFFERSON,38,27,3,31,JEFFERSON,48,19,0,31,JEFFERSON,55,26,0,31,JEFFERSON,43,12,5,31,JEFFERSON,43,28,0,31,JEFFERSON,32,28,3,31,JEFFERSON,54,28,0,31,JEFFERSON,98,46,1,,,,,
33,JOSEPHINE,242,130,15,33,JOSEPHINE,224,154,9,33,JOSEPHINE,209,129,12,33,JOSEPHINE,168,119,14,33,JOSEPHINE,196,145,10,33,JOSEPHINE,231,176,10,33,JOSEPHINE,231,188,10,33,JOSEPHINE,457,163,23,33,JOSEPHINE,331,355,11,33,JOSEPHINE,298,234,14,33,JOSEPHINE,236,137,17,33,JOSEPHINE,166,94,12,33,JOSEPHINE,226,95,10,33,JOSEPHINE,222,140,9,33,JOSEPHINE,208,112,11,33,JOSEPHINE,166,74,14,33,JOSEPHINE,206,142,7,33,JOSEPHINE,323,182,11,33,JOSEPHINE,222,160,9,33,JOSEPHINE,398,203,23,,,,,
