State Weekly Claims for Unemplyment Insurance Data Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate,,,
Oklahoma,6/2/1999,"2,086",30/1/1999,"17,010","1,331,664",1.28,,,
Oklahoma,30/1/1999,"1,965",23/1/1999,"17,552","1,331,664",1.32,,,
Oklahoma,23/1/1999,"2,067",16/1/1999,"16,257","1,331,664",1.22,,,
Oklahoma,16/1/1999,"4,664",9/1/1999,"15,252","1,331,664",1.15,,,
Oklahoma,9/1/1999,"3,892",2/1/1999,"18,593","1,331,664",1.4,,,
Oklahoma,2/1/1999,"3,716",26/12/1998,"16,653","1,315,543",1.27,,,
Oklahoma,26/12/1998,"3,458",19/12/1998,"13,972","1,315,543",1.06,,,
Oklahoma,19/12/1998,"2,629",12/12/1998,"13,382","1,315,543",1.02,,,
Oklahoma,12/12/1998,"2,151",5/12/1998,"13,285","1,315,543",1.01,,,
Oklahoma,5/12/1998,"2,388",28/11/1998,"14,183","1,315,543",1.08,,,
Oklahoma,28/11/1998,"2,617",21/11/1998,"11,271","1,315,543",0.86,,,
Oklahoma,21/11/1998,"1,794",14/11/1998,"12,160","1,315,543",0.92,,,
Oklahoma,14/11/1998,"1,705",7/11/1998,"11,911","1,315,543",0.91,,,
Oklahoma,7/11/1998,"1,780",31/10/1998,"11,564","1,315,543",0.88,,,
Oklahoma,31/10/1998,"1,510",24/10/1998,"11,901","1,315,543",0.9,,,
Oklahoma,24/10/1998,"2,331",17/10/1998,"11,283","1,315,543",0.86,,,
Oklahoma,17/10/1998,"1,456",10/10/1998,"11,151","1,315,543",0.85,,,
Oklahoma,10/10/1998,"1,752",3/10/1998,"10,906","1,315,543",0.83,,,
Oklahoma,3/10/1998,"1,439",26/9/1998,"10,843","1,305,276",0.83,,,
Oklahoma,26/9/1998,"1,457",19/9/1998,"10,069","1,305,276",0.77,,,
Oklahoma,19/9/1998,"1,427",12/9/1998,"11,031","1,305,276",0.85,,,
Oklahoma,12/9/1998,"1,333",5/9/1998,"10,980","1,305,276",0.84,,,
Oklahoma,5/9/1998,"1,381",29/8/1998,"11,118","1,305,276",0.85,,,
Oklahoma,29/8/1998,"1,446",22/8/1998,"11,153","1,305,276",0.85,,,
Oklahoma,22/8/1998,"1,459",15/8/1998,"11,427","1,305,276",0.88,,,
Oklahoma,15/8/1998,"1,375",8/8/1998,"11,721","1,305,276",0.9,,,
Oklahoma,8/8/1998,"1,543",1/8/1998,"15,376","1,305,276",1.18,,,
Oklahoma,1/8/1998,"1,494",25/7/1998,"16,122","1,305,276",1.24,,,
Oklahoma,25/7/1998,"1,591",18/7/1998,"16,126","1,305,276",1.24,,,
Oklahoma,18/7/1998,"2,489",11/7/1998,"15,589","1,305,276",1.19,,,
Oklahoma,11/7/1998,"2,218",4/7/1998,"15,361","1,302,417",1.18,,,
Oklahoma,4/7/1998,"1,925",27/6/1998,"14,646","1,295,732",1.13,,,
Oklahoma,27/6/1998,"3,710",20/6/1998,"11,714","1,295,732",0.9,,,
Oklahoma,20/6/1998,"1,506",13/6/1998,"11,948","1,295,732",0.92,,,
Oklahoma,13/6/1998,"1,488",6/6/1998,"11,927","1,295,732",0.92,,,
Oklahoma,6/6/1998,"1,917",30/5/1998,"11,996","1,295,732",0.93,,,
Oklahoma,30/5/1998,"1,557",23/5/1998,"10,462","1,295,732",0.81,,,
Oklahoma,23/5/1998,"1,503",16/5/1998,"11,549","1,295,732",0.89,,,
Oklahoma,16/5/1998,"1,545",9/5/1998,"11,504","1,295,732",0.89,,,
Oklahoma,9/5/1998,"1,448",2/5/1998,"11,886","1,295,732",0.92,,,
Oklahoma,2/5/1998,"1,609",25/4/1998,"11,454","1,295,732",0.88,,,
Oklahoma,25/4/1998,"1,290",18/4/1998,"11,908","1,295,732",0.92,,,
Oklahoma,18/4/1998,"1,320",11/4/1998,"11,849","1,295,732",0.91,,,
Oklahoma,11/4/1998,"1,611",4/4/1998,"10,965","1,295,732",0.85,,,
Oklahoma,4/4/1998,"1,725",28/3/1998,"13,206","1,295,732",1.02,,,
Oklahoma,28/3/1998,"2,411",21/3/1998,"14,187","1,295,732",1.09,,,
Oklahoma,21/3/1998,"2,417",14/3/1998,"12,821","1,295,732",0.99,,,
Oklahoma,14/3/1998,"1,529",7/3/1998,"12,733","1,295,732",0.98,,,
Oklahoma,7/3/1998,"1,565",28/2/1998,"12,824","1,295,732",0.99,,,
Oklahoma,28/2/1998,"1,464",21/2/1998,"13,131","1,295,732",1.01,,,
Oklahoma,21/2/1998,"1,293",14/2/1998,"12,692","1,295,732",0.98,,,
Oklahoma,14/2/1998,"1,706",7/2/1998,"13,278","1,295,732",1.02,,,
Oklahoma,7/2/1998,"1,764",31/1/1998,"13,751","1,295,732",1.06,,,
Oklahoma,31/1/1998,"1,957",24/1/1998,"14,054","1,295,732",1.08,,,
Oklahoma,24/1/1998,"2,090",17/1/1998,"14,110","1,295,732",1.09,,,
Oklahoma,17/1/1998,"2,995",10/1/1998,"14,482","1,295,732",1.12,,,
Oklahoma,10/1/1998,"3,723",3/1/1998,"15,391","1,295,732",1.19,,,
Oklahoma,3/1/1998,"3,500",27/12/1997,"14,509","1,286,174",1.13,,,
Oklahoma,27/12/1997,"2,864",20/12/1997,"10,036","1,286,174",0.78,,,
Oklahoma,20/12/1997,"2,528",13/12/1997,"12,019","1,286,174",0.93,,,
Oklahoma,13/12/1997,"2,248",6/12/1997,"11,887","1,286,174",0.92,,,
Oklahoma,6/12/1997,"2,191",29/11/1997,"12,453","1,286,174",0.97,,,
Oklahoma,29/11/1997,"2,881",22/11/1997,"10,899","1,286,174",0.85,,,
Oklahoma,22/11/1997,"1,583",15/11/1997,"10,243","1,286,174",0.8,,,
Oklahoma,15/11/1997,"1,543",8/11/1997,"10,243","1,286,174",0.8,,,
Oklahoma,8/11/1997,"1,489",1/11/1997,"10,383","1,286,174",0.81,,,
Oklahoma,1/11/1997,"1,508",25/10/1997,"10,520","1,286,174",0.82,,,
Oklahoma,25/10/1997,"2,208",18/10/1997,"10,109","1,286,174",0.79,,,
Oklahoma,18/10/1997,"1,380",11/10/1997,"9,653","1,286,174",0.75,,,
Oklahoma,11/10/1997,"1,594",4/10/1997,"9,956","1,286,174",0.77,,,
Oklahoma,4/10/1997,"1,382",27/9/1997,"10,201","1,277,225",0.8,,,
Oklahoma,27/9/1997,"1,262",20/9/1997,"10,564","1,277,225",0.83,,,
Oklahoma,20/9/1997,"1,283",13/9/1997,"10,606","1,277,225",0.83,,,
Oklahoma,13/9/1997,"1,367",6/9/1997,"10,975","1,277,225",0.86,,,
Oklahoma,6/9/1997,"1,133",30/8/1997,"10,981","1,277,225",0.86,,,
Oklahoma,30/8/1997,"1,511",23/8/1997,"11,650","1,277,225",0.91,,,
Oklahoma,23/8/1997,"1,523",16/8/1997,"11,529","1,277,225",0.9,,,
Oklahoma,16/8/1997,"1,389",9/8/1997,"11,943","1,277,225",0.94,,,
Oklahoma,9/8/1997,"1,583",2/8/1997,"12,059","1,277,225",0.94,,,
Oklahoma,2/8/1997,"1,412",26/7/1997,"12,529","1,277,225",0.98,,,
Oklahoma,26/7/1997,"1,592",19/7/1997,"12,519","1,277,225",0.98,,,
Oklahoma,19/7/1997,"1,700",12/7/1997,"12,836","1,277,225",1,,,
Oklahoma,12/7/1997,"2,134",5/7/1997,"13,168","1,277,225",1.03,,,
Oklahoma,5/7/1997,"2,620",28/6/1997,"11,417","1,267,332",0.9,,,
Oklahoma,28/6/1997,"1,638",21/6/1997,"11,738","1,267,332",0.93,,,
Oklahoma,21/6/1997,"1,556",14/6/1997,"11,306","1,267,332",0.89,,,
Oklahoma,14/6/1997,"1,567",7/6/1997,"12,182","1,267,332",0.96,,,
Oklahoma,7/6/1997,"1,802",31/5/1997,"11,780","1,267,332",0.93,,,
Oklahoma,31/5/1997,"1,613",24/5/1997,"12,169","1,267,332",0.96,,,
Oklahoma,24/5/1997,"1,516",17/5/1997,"12,059","1,267,332",0.95,,,
Oklahoma,17/5/1997,"1,775",10/5/1997,"12,044","1,267,332",0.95,,,
Oklahoma,10/5/1997,"1,425",3/5/1997,"11,998","1,267,332",0.95,,,
Oklahoma,3/5/1997,"1,623",26/4/1997,"12,448","1,267,332",0.98,,,
Oklahoma,26/4/1997,"1,717",19/4/1997,"12,174","1,267,332",0.96,,,
Oklahoma,19/4/1997,"1,794",12/4/1997,"12,357","1,267,332",0.98,,,
Oklahoma,12/4/1997,"2,071",5/4/1997,"12,159","1,267,332",0.96,,,
Oklahoma,5/4/1997,"1,401",29/3/1997,"12,279","1,256,823",0.98,,,
Oklahoma,29/3/1997,"1,548",22/3/1997,"13,056","1,256,823",1.04,,,
Oklahoma,22/3/1997,"1,434",15/3/1997,"13,338","1,256,823",1.06,,,
Oklahoma,15/3/1997,"1,580",8/3/1997,"13,613","1,256,823",1.08,,,
Oklahoma,8/3/1997,"1,709",1/3/1997,"15,057","1,256,823",1.2,,,
Oklahoma,1/3/1997,"1,762",22/2/1997,"15,816","1,256,823",1.26,,,
Oklahoma,22/2/1997,"1,768",15/2/1997,"14,858","1,256,823",1.18,,,
Oklahoma,15/2/1997,"1,808",8/2/1997,"14,665","1,256,823",1.17,,,
Oklahoma,8/2/1997,"1,840",1/2/1997,"14,758","1,256,823",1.17,,,
Oklahoma,1/2/1997,"2,178",25/1/1997,"15,686","1,256,823",1.25,,,
Oklahoma,25/1/1997,"2,301",18/1/1997,"20,484","1,256,823",1.63,,,
Oklahoma,18/1/1997,"3,078",11/1/1997,"15,394","1,256,823",1.22,,,
Oklahoma,11/1/1997,"3,173",4/1/1997,"15,488","1,256,823",1.23,,,
Oklahoma,4/1/1997,"2,283",28/12/1996,"15,237","1,246,594",1.22,,,
Oklahoma,28/12/1996,"2,742",21/12/1996,"13,386","1,246,594",1.07,,,
Oklahoma,21/12/1996,"1,939",14/12/1996,"13,480","1,246,594",1.08,,,
Oklahoma,14/12/1996,"1,981",7/12/1996,"13,667","1,246,594",1.1,,,
Oklahoma,7/12/1996,"2,792",30/11/1996,"14,012","1,246,594",1.12,,,
Oklahoma,30/11/1996,"2,164",23/11/1996,"12,910","1,246,594",1.04,,,
Oklahoma,23/11/1996,"1,907",16/11/1996,"12,877","1,246,594",1.03,,,
Oklahoma,16/11/1996,"1,886",9/11/1996,"17,133","1,246,594",1.37,,,
Oklahoma,9/11/1996,"1,756",2/11/1996,"12,766","1,246,594",1.02,,,
Oklahoma,2/11/1996,"2,534",26/10/1996,"13,028","1,246,594",1.05,,,
Oklahoma,26/10/1996,"1,592",19/10/1996,"12,141","1,246,594",0.97,,,
Oklahoma,19/10/1996,"1,462",12/10/1996,"12,433","1,246,594",1,,,
Oklahoma,12/10/1996,"2,000",5/10/1996,"13,174","1,246,594",1.06,,,
Oklahoma,5/10/1996,"3,171",28/9/1996,"13,620","1,237,612",1.1,,,
Oklahoma,28/9/1996,"2,877",21/9/1996,"12,997","1,237,612",1.05,,,
Oklahoma,21/9/1996,"2,157",14/9/1996,"12,835","1,237,612",1.04,,,
Oklahoma,14/9/1996,"1,546",7/9/1996,"12,558","1,237,612",1.01,,,
Oklahoma,7/9/1996,"1,645",31/8/1996,"12,939","1,237,612",1.05,,,
Oklahoma,31/8/1996,"1,964",24/8/1996,"12,480","1,237,612",1.01,,,
Oklahoma,24/8/1996,"1,546",17/8/1996,"13,200","1,237,612",1.07,,,
Oklahoma,17/8/1996,"1,703",10/8/1996,"13,333","1,237,612",1.08,,,
Oklahoma,10/8/1996,"1,892",3/8/1996,"13,577","1,237,612",1.1,,,
Oklahoma,3/8/1996,"1,652",27/7/1996,"13,647","1,237,612",1.1,,,
Oklahoma,27/7/1996,"1,640",20/7/1996,"13,893","1,237,612",1.12,,,
Oklahoma,20/7/1996,"2,404",13/7/1996,"15,034","1,237,612",1.21,,,
Oklahoma,13/7/1996,"3,612",6/7/1996,"14,470","1,237,612",1.17,,,
Oklahoma,6/7/1996,"2,865",29/6/1996,"13,306","1,229,128",1.08,,,
Oklahoma,29/6/1996,"1,779",22/6/1996,"13,463","1,229,128",1.1,,,
Oklahoma,22/6/1996,"1,707",15/6/1996,"12,995","1,229,128",1.06,,,
Oklahoma,15/6/1996,"1,701",8/6/1996,"12,994","1,229,128",1.06,,,
Oklahoma,8/6/1996,"1,841",1/6/1996,"12,950","1,229,128",1.05,,,
Oklahoma,1/6/1996,"1,593",25/5/1996,"16,577","1,229,128",1.35,,,
Oklahoma,25/5/1996,"1,722",18/5/1996,"13,516","1,229,128",1.1,,,
Oklahoma,18/5/1996,"1,625",11/5/1996,"12,868","1,229,128",1.05,,,
Oklahoma,11/5/1996,"2,118",4/5/1996,"12,814","1,229,128",1.04,,,
Oklahoma,4/5/1996,"1,686",27/4/1996,"13,138","1,229,128",1.07,,,
Oklahoma,27/4/1996,"1,643",20/4/1996,"13,372","1,229,128",1.09,,,
Oklahoma,20/4/1996,"1,801",13/4/1996,"13,607","1,229,128",1.11,,,
Oklahoma,13/4/1996,"1,937",6/4/1996,"13,066","1,229,128",1.06,,,
Oklahoma,6/4/1996,"1,928",30/3/1996,"13,756","1,222,051",1.13,,,
Oklahoma,30/3/1996,"1,894",23/3/1996,"15,472","1,222,051",1.27,,,
Oklahoma,23/3/1996,"2,123",16/3/1996,"15,649","1,222,051",1.28,,,
Oklahoma,16/3/1996,"5,311",9/3/1996,"14,267","1,222,051",1.17,,,
Oklahoma,9/3/1996,"1,751",2/3/1996,"14,519","1,222,051",1.19,,,
Oklahoma,2/3/1996,"1,627",24/2/1996,"14,731","1,222,051",1.21,,,
Oklahoma,24/2/1996,"1,733",17/2/1996,"19,330","1,222,051",1.58,,,
Oklahoma,17/2/1996,"5,591",10/2/1996,"16,217","1,222,051",1.33,,,
Oklahoma,10/2/1996,"2,600",3/2/1996,"19,397","1,222,051",1.59,,,
Oklahoma,3/2/1996,"2,228",27/1/1996,"18,640","1,222,051",1.53,,,
Oklahoma,27/1/1996,"5,913",20/1/1996,"15,916","1,222,051",1.3,,,
Oklahoma,20/1/1996,"2,070",13/1/1996,"19,517","1,222,051",1.6,,,
Oklahoma,13/1/1996,"6,757",6/1/1996,"16,774","1,222,051",1.37,,,
Oklahoma,6/1/1996,"3,053",30/12/1995,"14,272","1,214,183",1.18,,,
Oklahoma,30/12/1995,"2,820",23/12/1995,"15,248","1,214,183",1.26,,,
Oklahoma,23/12/1995,"2,293",16/12/1995,"12,771","1,214,183",1.05,,,
Oklahoma,16/12/1995,"1,939",9/12/1995,"14,488","1,214,183",1.19,,,
Oklahoma,9/12/1995,"2,941",2/12/1995,"15,541","1,214,183",1.28,,,
Oklahoma,2/12/1995,"2,432",25/11/1995,"15,941","1,214,183",1.31,,,
Oklahoma,25/11/1995,"1,432",18/11/1995,"12,042","1,214,183",0.99,,,
Oklahoma,18/11/1995,"2,684",11/11/1995,"15,316","1,214,183",1.26,,,
Oklahoma,11/11/1995,"2,855",4/11/1995,"11,908","1,214,183",0.98,,,
Oklahoma,4/11/1995,"1,877",28/10/1995,"13,876","1,214,183",1.14,,,
Oklahoma,28/10/1995,"1,639",21/10/1995,"13,587","1,214,183",1.12,,,
Oklahoma,21/10/1995,"1,761",14/10/1995,"13,840","1,214,183",1.14,,,
Oklahoma,14/10/1995,"1,840",7/10/1995,"14,003","1,214,183",1.15,,,
Oklahoma,7/10/1995,"2,526",30/9/1995,"13,319","1,205,262",1.11,,,
Oklahoma,30/9/1995,"2,212",23/9/1995,"13,921","1,205,262",1.16,,,
Oklahoma,23/9/1995,"1,682",16/9/1995,"14,255","1,205,262",1.18,,,
Oklahoma,16/9/1995,"1,536",9/9/1995,"14,212","1,205,262",1.18,,,
Oklahoma,9/9/1995,"1,494",2/9/1995,"13,704","1,205,262",1.14,,,
Oklahoma,2/9/1995,"1,632",26/8/1995,"14,681","1,205,262",1.22,,,
Oklahoma,26/8/1995,"1,649",19/8/1995,"14,902","1,205,262",1.24,,,
Oklahoma,19/8/1995,"1,687",12/8/1995,"14,989","1,205,262",1.24,,,
Oklahoma,12/8/1995,"1,825",5/8/1995,"15,573","1,205,262",1.29,,,
Oklahoma,5/8/1995,"1,867",29/7/1995,"15,572","1,205,262",1.29,,,
Oklahoma,29/7/1995,"1,504",22/7/1995,"16,108","1,205,262",1.34,,,
Oklahoma,22/7/1995,"2,477",15/7/1995,"16,928","1,205,262",1.4,,,
Oklahoma,15/7/1995,"2,748",8/7/1995,"16,992","1,205,262",1.41,,,
Oklahoma,8/7/1995,"3,036",1/7/1995,"14,738","1,197,607",1.23,,,
Oklahoma,1/7/1995,"1,922",24/6/1995,"15,533","1,197,607",1.3,,,
Oklahoma,24/6/1995,"1,699",17/6/1995,"15,684","1,197,607",1.31,,,
Oklahoma,17/6/1995,"2,022",10/6/1995,"16,176","1,197,607",1.35,,,
Oklahoma,10/6/1995,"2,195",3/6/1995,"15,437","1,197,607",1.29,,,
Oklahoma,3/6/1995,"2,070",27/5/1995,"15,029","1,197,607",1.25,,,
Oklahoma,27/5/1995,"1,784",20/5/1995,"16,659","1,197,607",1.39,,,
Oklahoma,20/5/1995,"3,667",13/5/1995,"16,151","1,197,607",1.35,,,
Oklahoma,13/5/1995,"2,344",6/5/1995,"15,226","1,197,607",1.27,,,
Oklahoma,6/5/1995,"1,881",29/4/1995,"15,701","1,197,607",1.31,,,
Oklahoma,29/4/1995,"1,918",22/4/1995,"15,554","1,197,607",1.3,,,
Oklahoma,22/4/1995,"2,234",15/4/1995,"15,393","1,197,607",1.29,,,
Oklahoma,15/4/1995,"1,741",8/4/1995,"18,609","1,197,607",1.55,,,
Oklahoma,8/4/1995,"5,398",1/4/1995,"15,231","1,189,139",1.28,,,
Oklahoma,1/4/1995,"1,567",25/3/1995,"16,103","1,189,139",1.35,,,
Oklahoma,25/3/1995,"1,805",18/3/1995,"16,869","1,189,139",1.42,,,
Oklahoma,18/3/1995,"2,245",11/3/1995,"17,105","1,189,139",1.44,,,
Oklahoma,11/3/1995,"2,336",4/3/1995,"17,271","1,189,139",1.45,,,
Oklahoma,4/3/1995,"1,792",25/2/1995,"16,442","1,189,139",1.38,,,
Oklahoma,25/2/1995,"1,876",18/2/1995,"16,556","1,189,139",1.39,,,
Oklahoma,18/2/1995,"1,798",11/2/1995,"16,885","1,189,139",1.42,,,
Oklahoma,11/2/1995,"2,094",4/2/1995,"17,287","1,189,139",1.45,,,
Oklahoma,4/2/1995,"2,267",28/1/1995,"17,893","1,189,139",1.5,,,
Oklahoma,28/1/1995,"2,310",21/1/1995,"17,813","1,189,139",1.5,,,
Oklahoma,21/1/1995,"2,220",14/1/1995,"17,230","1,189,139",1.45,,,
Oklahoma,14/1/1995,"3,246",7/1/1995,"18,014","1,189,139",1.51,,,
Oklahoma,7/1/1995,"3,460",31/12/1994,"15,171","1,181,063",1.28,,,
Oklahoma,31/12/1994,"2,118",24/12/1994,"15,132","1,181,063",1.28,,,
Oklahoma,24/12/1994,"2,210",17/12/1994,"15,380","1,181,063",1.3,,,
Oklahoma,17/12/1994,"2,127",10/12/1994,"15,477","1,181,063",1.31,,,
Oklahoma,10/12/1994,"2,496",3/12/1994,"15,499","1,181,063",1.31,,,
Oklahoma,3/12/1994,"2,121",26/11/1994,"15,090","1,181,063",1.28,,,
Oklahoma,26/11/1994,"1,441",19/11/1994,"13,134","1,181,063",1.11,,,
Oklahoma,19/11/1994,"1,988",12/11/1994,"14,745","1,181,063",1.25,,,
Oklahoma,12/11/1994,"1,669",5/11/1994,"13,539","1,181,063",1.15,,,
Oklahoma,5/11/1994,"2,178",29/10/1994,"14,047","1,181,063",1.19,,,
Oklahoma,29/10/1994,"1,761",22/10/1994,"15,552","1,181,063",1.32,,,
Oklahoma,22/10/1994,"1,644",15/10/1994,"12,404","1,181,063",1.05,,,
Oklahoma,15/10/1994,"1,564",8/10/1994,"13,767","1,181,063",1.17,,,
Oklahoma,8/10/1994,"2,148",1/10/1994,"13,881","1,181,063",1.18,,,
Oklahoma,1/10/1994,"1,513",24/9/1994,"14,175","1,173,648",1.21,,,
Oklahoma,24/9/1994,"1,504",17/9/1994,"14,667","1,173,648",1.25,,,
Oklahoma,17/9/1994,"1,522",10/9/1994,"14,894","1,173,648",1.27,,,
Oklahoma,10/9/1994,"1,470",3/9/1994,"14,658","1,173,648",1.25,,,
Oklahoma,3/9/1994,"1,668",27/8/1994,"15,749","1,173,648",1.34,,,
Oklahoma,27/8/1994,"1,692",20/8/1994,"15,990","1,173,648",1.36,,,
Oklahoma,20/8/1994,"1,755",13/8/1994,"16,579","1,173,648",1.41,,,
Oklahoma,13/8/1994,"1,800",6/8/1994,"16,635","1,173,648",1.42,,,
Oklahoma,6/8/1994,"1,972",30/7/1994,"16,743","1,173,648",1.43,,,
Oklahoma,30/7/1994,"2,359",23/7/1994,"17,024","1,173,648",1.45,,,
Oklahoma,23/7/1994,"1,815",16/7/1994,"17,382","1,173,648",1.48,,,
Oklahoma,16/7/1994,"2,265",9/7/1994,"17,246","1,173,648",1.47,,,
Oklahoma,9/7/1994,"2,887",2/7/1994,"15,154","1,173,648",1.29,,,
Oklahoma,2/7/1994,"1,428",25/6/1994,"16,139","1,165,592",1.38,,,
Oklahoma,25/6/1994,"1,747",18/6/1994,"16,420","1,165,592",1.41,,,
Oklahoma,18/6/1994,"1,710",11/6/1994,"16,945","1,165,592",1.45,,,
Oklahoma,11/6/1994,"2,060",4/6/1994,"16,434","1,165,592",1.41,,,
Oklahoma,4/6/1994,"1,977",28/5/1994,"15,973","1,165,592",1.37,,,
Oklahoma,28/5/1994,"1,801",21/5/1994,"16,766","1,165,592",1.44,,,
Oklahoma,21/5/1994,"1,880",14/5/1994,"17,046","1,165,592",1.46,,,
Oklahoma,14/5/1994,"2,860",7/5/1994,"17,307","1,165,592",1.48,,,
Oklahoma,7/5/1994,"2,331",30/4/1994,"16,622","1,165,592",1.43,,,
Oklahoma,30/4/1994,"1,844",23/4/1994,"16,446","1,165,592",1.41,,,
Oklahoma,23/4/1994,"1,802",16/4/1994,"17,140","1,165,592",1.47,,,
Oklahoma,16/4/1994,"1,893",9/4/1994,"17,412","1,165,592",1.49,,,
Oklahoma,9/4/1994,"2,373",2/4/1994,"17,469","1,165,592",1.5,,,
Oklahoma,2/4/1994,"1,614",26/3/1994,"17,643","1,163,305",1.52,,,
Oklahoma,26/3/1994,"1,895",19/3/1994,"18,486","1,163,305",1.59,,,
Oklahoma,19/3/1994,"2,126",12/3/1994,"19,031","1,163,305",1.64,,,
Oklahoma,12/3/1994,"1,912",5/3/1994,"18,980","1,163,305",1.63,,,
Oklahoma,5/3/1994,"2,250",26/2/1994,"19,601","1,163,305",1.68,,,
Oklahoma,26/2/1994,"1,830",19/2/1994,"18,995","1,163,305",1.63,,,
Oklahoma,19/2/1994,"2,216",12/2/1994,"20,072","1,163,305",1.73,,,
Oklahoma,12/2/1994,"2,024",5/2/1994,"19,885","1,163,305",1.71,,,
Oklahoma,5/2/1994,"2,251",29/1/1994,"20,570","1,163,305",1.77,,,
Oklahoma,29/1/1994,"2,436",22/1/1994,"20,432","1,163,305",1.76,,,
Oklahoma,22/1/1994,"2,386",15/1/1994,"20,717","1,163,305",1.78,,,
Oklahoma,15/1/1994,"3,350",8/1/1994,"21,590","1,163,305",1.86,,,
Oklahoma,8/1/1994,"4,345",1/1/1994,"21,059","1,163,305",1.81,,,
Oklahoma,1/1/1994,"2,308",25/12/1993,"17,873","1,202,369",1.49,,,
Oklahoma,25/12/1993,"2,297",18/12/1993,"17,506","1,202,369",1.46,,,
Oklahoma,18/12/1993,"2,021",11/12/1993,"18,386","1,202,369",1.53,,,
Oklahoma,11/12/1993,"3,033",4/12/1993,"18,749","1,202,369",1.56,,,
Oklahoma,4/12/1993,"3,272",27/11/1993,"18,930","1,202,369",1.57,,,
Oklahoma,27/11/1993,"2,479",20/11/1993,"12,716","1,202,369",1.06,,,
Oklahoma,20/11/1993,"2,240",13/11/1993,"16,753","1,202,369",1.39,,,
Oklahoma,13/11/1993,"1,775",6/11/1993,"16,250","1,202,369",1.35,,,
Oklahoma,6/11/1993,"2,258",30/10/1993,"16,636","1,202,369",1.38,,,
Oklahoma,30/10/1993,"1,803",23/10/1993,"17,018","1,202,369",1.42,,,
Oklahoma,23/10/1993,"2,037",16/10/1993,"17,005","1,202,369",1.41,,,
Oklahoma,16/10/1993,"1,963",9/10/1993,"15,700","1,202,369",1.31,,,
Oklahoma,9/10/1993,"2,797",2/10/1993,"15,819","1,202,369",1.32,,,
Oklahoma,2/10/1993,"1,656",25/9/1993,"16,027","1,196,773",1.34,,,
Oklahoma,25/9/1993,"1,731",18/9/1993,"16,826","1,196,773",1.41,,,
Oklahoma,18/9/1993,"1,943",11/9/1993,"16,671","1,196,773",1.39,,,
Oklahoma,11/9/1993,"1,524",4/9/1993,"16,607","1,196,773",1.39,,,
Oklahoma,4/9/1993,"1,907",28/8/1993,"17,024","1,196,773",1.42,,,
Oklahoma,28/8/1993,"1,685",21/8/1993,"17,655","1,196,773",1.48,,,
Oklahoma,21/8/1993,"1,860",14/8/1993,"18,278","1,196,773",1.53,,,
Oklahoma,14/8/1993,"2,148",7/8/1993,"19,435","1,196,773",1.62,,,
Oklahoma,7/8/1993,"2,264",31/7/1993,"18,897","1,196,773",1.58,,,
Oklahoma,31/7/1993,"1,890",24/7/1993,"19,115","1,196,773",1.6,,,
Oklahoma,24/7/1993,"2,177",17/7/1993,"19,345","1,196,773",1.62,,,
Oklahoma,17/7/1993,"2,679",10/7/1993,"18,934","1,196,773",1.58,,,
Oklahoma,10/7/1993,"2,430",3/7/1993,"17,251","1,196,773",1.44,,,
Oklahoma,3/7/1993,"2,039",26/6/1993,"18,269","1,185,608",1.54,,,
Oklahoma,26/6/1993,"1,929",19/6/1993,"18,490","1,185,608",1.56,,,
Oklahoma,19/6/1993,"2,280",12/6/1993,"19,620","1,185,608",1.65,,,
Oklahoma,12/6/1993,"1,968",5/6/1993,"18,922","1,185,608",1.6,,,
Oklahoma,5/6/1993,"2,069",29/5/1993,"18,063","1,185,608",1.52,,,
Oklahoma,29/5/1993,"2,080",22/5/1993,"19,155","1,185,608",1.62,,,
Oklahoma,22/5/1993,"2,326",15/5/1993,"20,094","1,185,608",1.69,,,
Oklahoma,15/5/1993,"2,527",8/5/1993,"18,937","1,185,608",1.6,,,
Oklahoma,8/5/1993,"2,185",1/5/1993,"19,307","1,185,608",1.63,,,
Oklahoma,1/5/1993,"2,524",24/4/1993,"19,216","1,185,608",1.62,,,
Oklahoma,24/4/1993,"1,913",17/4/1993,"20,252","1,185,608",1.71,,,
Oklahoma,17/4/1993,"1,985",10/4/1993,"19,524","1,185,608",1.65,,,
Oklahoma,10/4/1993,"2,783",3/4/1993,"20,249","1,185,608",1.71,,,
Oklahoma,3/4/1993,"2,056",27/3/1993,"19,871","1,201,767",1.65,,,
Oklahoma,27/3/1993,"2,422",20/3/1993,"20,271","1,201,767",1.69,,,
Oklahoma,20/3/1993,"2,072",13/3/1993,"20,985","1,201,767",1.75,,,
Oklahoma,13/3/1993,"2,398",6/3/1993,"21,590","1,201,767",1.8,,,
Oklahoma,6/3/1993,"2,785",27/2/1993,"21,559","1,201,767",1.79,,,
Oklahoma,27/2/1993,"2,960",20/2/1993,"21,860","1,201,767",1.82,,,
Oklahoma,20/2/1993,"2,157",13/2/1993,"20,474","1,201,767",1.7,,,
Oklahoma,13/2/1993,"2,114",6/2/1993,"21,511","1,201,767",1.79,,,
Oklahoma,6/2/1993,"2,431",30/1/1993,"21,523","1,201,767",1.79,,,
Oklahoma,30/1/1993,"2,566",23/1/1993,"23,537","1,201,767",1.96,,,
