state_name,state_fips,state_abbrev,week_ended,initial_claims,continued_claims
Maine,23,ME,4/16/16,909,10193
Maine,23,ME,4/23/16,807,9446
Maine,23,ME,4/30/16,996,8980
Maine,23,ME,5/7/16,804,7849
Maine,23,ME,5/14/16,724,7268
Maine,23,ME,5/21/16,658,6656
Maine,23,ME,5/28/16,600,6217
Maine,23,ME,6/4/16,539,5847
Maine,23,ME,6/11/16,691,5631
Maine,23,ME,6/18/16,732,5441
Maine,23,ME,6/25/16,831,5338
Maine,23,ME,7/2/16,748,5380
Maine,23,ME,7/9/16,697,5238
Maine,23,ME,7/16/16,850,5766
Maine,23,ME,7/23/16,778,5255
Maine,23,ME,7/30/16,607,5113
Maine,23,ME,8/6/16,629,5076
Maine,23,ME,8/13/16,550,5112
Maine,23,ME,8/20/16,556,5132
Maine,23,ME,8/27/16,522,4905
Maine,23,ME,9/3/16,557,4495
Maine,23,ME,9/10/16,543,4392
Maine,23,ME,9/17/16,601,4257
Maine,23,ME,9/24/16,586,4234
Maine,23,ME,10/1/16,611,4114
Maine,23,ME,10/8/16,603,3955
Maine,23,ME,10/15/16,618,3936
Maine,23,ME,10/22/16,783,4131
Maine,23,ME,10/29/16,851,4340
Maine,23,ME,11/5/16,1017,4514
Maine,23,ME,11/12/16,907,4930
Maine,23,ME,11/19/16,1075,5320
Maine,23,ME,11/26/16,833,5355
Maine,23,ME,12/3/16,1716,6468
Maine,23,ME,12/10/16,1339,6610
Maine,23,ME,12/17/16,1312,7102
Maine,23,ME,12/24/16,1345,7630
Maine,23,ME,12/31/16,1322,8270
Maine,23,ME,1/7/17,2142,9373
Maine,23,ME,1/14/17,1732,10029
Maine,23,ME,1/21/17,1143,10103
Maine,23,ME,1/28/17,1032,10423
Maine,23,ME,2/4/17,970,10383
Maine,23,ME,2/11/17,766,10603
Maine,23,ME,2/18/17,675,10398
Maine,23,ME,2/25/17,828,10403
Maine,23,ME,3/4/17,953,10558
Maine,23,ME,3/11/17,770,10167
Maine,23,ME,3/18/17,658,9928
Maine,23,ME,3/25/17,708,9931
Maine,23,ME,4/1/17,919,9487
Maine,23,ME,4/8/17,940,9398
Maine,23,ME,4/15/17,754,9115
Maine,23,ME,4/22/17,767,8455
Maine,23,ME,4/29/17,820,8125
Maine,23,ME,5/6/17,695,7229
Maine,23,ME,5/13/17,606,6566
Maine,23,ME,5/20/17,596,6128
Maine,23,ME,5/27/17,553,5728
Maine,23,ME,6/3/17,462,5321
Maine,23,ME,6/10/17,562,5216
Maine,23,ME,6/17/17,548,4922
Maine,23,ME,6/24/17,628,4668
Maine,23,ME,7/1/17,957,4687
Maine,23,ME,7/8/17,855,4545
Maine,23,ME,7/15/17,746,4994
Maine,23,ME,7/22/17,606,4751
Maine,23,ME,7/29/17,487,4621
Maine,23,ME,8/5/17,500,4580
Maine,23,ME,8/12/17,425,4416
Maine,23,ME,8/19/17,441,4410
Maine,23,ME,8/26/17,417,4289
Maine,23,ME,9/2/17,449,4104
Maine,23,ME,9/9/17,469,3869
Maine,23,ME,9/16/17,472,3911
Maine,23,ME,9/23/17,462,3692
Maine,23,ME,9/30/17,410,3612
Maine,23,ME,10/7/17,514,3497
Maine,23,ME,10/14/17,452,3452
Maine,23,ME,10/21/17,566,3507
Maine,23,ME,10/28/17,722,3674
Maine,23,ME,11/4/17,838,3894
Maine,23,ME,11/11/17,923,4161
Maine,23,ME,11/18/17,933,4615
Maine,23,ME,11/25/17,764,4740
Maine,23,ME,12/2/17,1138,5495
Maine,23,ME,12/9/17,1416,5154
Maine,23,ME,12/16/17,1769,6173
Maine,23,ME,12/23/17,1461,6672
Maine,23,ME,12/30/17,1317,6969
Maine,23,ME,1/6/18,1693,7897
Maine,23,ME,1/13/18,1766,9061
Maine,23,ME,1/20/18,1346,9660
Maine,23,ME,1/27/18,1009,9507
Maine,23,ME,2/3/18,1072,9818
Maine,23,ME,2/10/18,769,9500
Maine,23,ME,2/17/18,773,9542
Maine,23,ME,2/24/18,749,9287
Maine,23,ME,3/3/18,1009,9570
Maine,23,ME,3/10/18,704,8973
Maine,23,ME,3/17/18,661,8875
Maine,23,ME,3/24/18,713,8674
Maine,23,ME,3/31/18,658,8265
Maine,23,ME,4/7/18,847,7958
Maine,23,ME,4/14/18,775,7335
Maine,23,ME,4/21/18,664,7083
Maine,23,ME,4/28/18,776,7190
Maine,23,ME,5/5/18,657,6550
Maine,23,ME,5/12/18,499,5793
Maine,23,ME,5/19/18,549,5353
Maine,23,ME,5/26/18,475,4971
Maine,23,ME,6/2/18,447,4661
Maine,23,ME,6/9/18,450,4484
Maine,23,ME,6/16/18,484,4327
Maine,23,ME,6/23/18,510,4249
Maine,23,ME,6/30/18,601,4236
Maine,23,ME,7/7/18,572,4247
Maine,23,ME,7/14/18,1017,5017
Maine,23,ME,7/21/18,707,4816
Maine,23,ME,7/28/18,482,4336
Maine,23,ME,8/4/18,429,4234
Maine,23,ME,8/11/18,374,4247
Maine,23,ME,8/18/18,397,4024
Maine,23,ME,8/25/18,363,3981
Maine,23,ME,9/1/18,448,3828
Maine,23,ME,9/8/18,363,3631
Maine,23,ME,9/15/18,465,3554
Maine,23,ME,9/22/18,385,3467
Maine,23,ME,9/29/18,342,3573
Maine,23,ME,10/6/18,457,3266
Maine,23,ME,10/13/18,431,3266
Maine,23,ME,10/20/18,529,3335
Maine,23,ME,10/27/18,654,3465
Maine,23,ME,11/3/18,724,3666
Maine,23,ME,11/10/18,902,3860
Maine,23,ME,11/17/18,695,3927
Maine,23,ME,11/24/18,1041,4256
Maine,23,ME,12/1/18,1595,5542
Maine,23,ME,12/8/18,1238,5709
Maine,23,ME,12/15/18,1352,5830
Maine,23,ME,12/22/18,1203,6524
Maine,23,ME,12/29/18,1021,6716
Maine,23,ME,1/5/19,1823,7349
Maine,23,ME,1/12/19,1637,8445
Maine,23,ME,1/19/19,1011,8155
Maine,23,ME,1/26/19,904,8247
Maine,23,ME,2/2/19,929,8778
Maine,23,ME,2/9/19,746,8671
Maine,23,ME,2/16/19,592,8680
Maine,23,ME,2/23/19,594,8592
Maine,23,ME,3/2/19,742,8970
Maine,23,ME,3/9/19,710,8493
Maine,23,ME,3/16/19,619,8479
Maine,23,ME,3/23/19,561,8152
Maine,23,ME,3/30/19,676,8340
Maine,23,ME,4/6/19,739,7600
Maine,23,ME,4/13/19,711,7190
Maine,23,ME,4/20/19,688,6947
Maine,23,ME,4/27/19,720,6734
Maine,23,ME,5/4/19,573,6045
Maine,23,ME,5/11/19,464,5383
Maine,23,ME,5/18/19,528,4932
Maine,23,ME,5/25/19,476,4771
Maine,23,ME,6/1/19,351,4312
Maine,23,ME,6/8/19,520,4327
Maine,23,ME,6/15/19,437,3988
Maine,23,ME,6/22/19,536,4096
Maine,23,ME,6/29/19,531,3966
Maine,23,ME,7/6/19,441,3783
Maine,23,ME,7/13/19,708,4301
Maine,23,ME,7/20/19,493,4025
Maine,23,ME,7/27/19,565,4072
Maine,23,ME,8/3/19,466,3817
Maine,23,ME,8/10/19,447,3779
Maine,23,ME,8/17/19,363,3680
Maine,23,ME,8/24/19,350,3613
Maine,23,ME,8/31/19,388,3405
Maine,23,ME,9/7/19,388,3096
Maine,23,ME,9/14/19,414,2966
Maine,23,ME,9/21/19,382,2965
Maine,23,ME,9/28/19,367,2910
Maine,23,ME,10/5/19,414,2960
Maine,23,ME,10/12/19,480,3022
Maine,23,ME,10/19/19,419,2938
Maine,23,ME,10/26/19,660,3213
Maine,23,ME,11/2/19,719,3308
Maine,23,ME,11/9/19,839,3424
Maine,23,ME,11/16/19,785,3858
Maine,23,ME,11/23/19,944,4377
Maine,23,ME,11/30/19,732,4548
Maine,23,ME,12/7/19,1351,5381
Maine,23,ME,12/14/19,1304,5655
Maine,23,ME,12/21/19,1123,5761
Maine,23,ME,12/28/19,985,5898
Maine,23,ME,1/4/20,1663,7826
Maine,23,ME,1/11/20,1561,7830
Maine,23,ME,1/18/20,959,8659
Maine,23,ME,1/25/20,944,8455
Maine,23,ME,2/1/20,881,8914
Maine,23,ME,2/8/20,702,8807
Maine,23,ME,2/15/20,790,8894
Maine,23,ME,2/22/20,729,8622
Maine,23,ME,2/29/20,860,8997
Maine,23,ME,3/7/20,715,8732
Maine,23,ME,3/14/20,634,8438
Maine,23,ME,3/21/20,21459,8695
Maine,23,ME,3/28/20,23761,21962
Maine,23,ME,4/4/20,30889,41334
Maine,23,ME,4/11/20,13421,55692
Maine,23,ME,4/18/20,11561,66469
Maine,23,ME,4/25/20,7420,72929
